Warner Bros. Discovery	Product Manager	Remote	PM	ENTRY_LEVEL	$73,150 - $135,850 a year
Northwell Health	Associate Product Services & Management Analyst - Hospital Billing	Melville, NY 11747	PM	ENTRY_LEVEL	NA	 Assists in the analysis, verification, tracking and development of implementation plans for system development and implementation of project access. Assists in consultation with departments to provide customer support during and post implementation. Job Responsibility Assists in the analysis, verification, tracking and development of implementation plans for system development and implementation of project access which may include discovery, design, conversion, testing, and/or any other components of the project plan cycle. Helps in ensuring processes are compliant with system policies, applicable laws, and contractual bargaining agreements. Collaborates with implementation teams to resolve user issues. Assists in consultation with departments to provide customer support during and post implementation. Troubleshoots issues and resolves concerns as well as recommends necessary fixes. Operates with direct guidance and work assignments are generally straightforward and of moderate complexity. Performs related duties as required. All responsibilities noted here are considered essential functions of the job under the Americans with Disabilities Act. Duties not mentioned here, but considered related are not essential functions.Job Qualification Bachelor's Degree required, or equivalent combination of education and related experience.0-1 years of relevant experience, required.Highly Preferred:Epic Cupid CertifiedEpic certifiedAdditional Salary Detail The salary range and/or hourly rate listed is a good faith determination of potential base compensation that may be offered to a successful applicant for this position at the time of this job advertisement and may be modified in the future.When determining a team member's base salary and/or rate, several factors may be considered as applicable (e.g., location, specialty, service line, years of relevant experience, education, credentials, negotiated contracts, budget and internal equity).  
Physicians Mutual	Pricing Actuary - Product Management	Omaha, NE 68131	PM	ENTRY_LEVEL	NA	This game changing career will give you the opportunity to be challenged with pricing and actively managing our Medicare Supplement line of business for Physicians Mutual. You will get to initiate, organize, direct and analyze actuarial work. In this role you will develop actuarial assumptions as well as direct, develop and maintain product pricing, profit studies, reserves, rate filings and related procedures. Must be able to compile and evaluate statistical data. Must have advanced understanding of actuarial concepts and insurance knowledge and the ability to apply these concepts to the work.Requirements: Bachelor’s degree in actuarial science or related discipline. Completion of FSA is required.Ability to apply standard mathematical computations to a variety of assigned work projectsStrong Excel experience for mathematical modeling, statistical analysis, etc.Ability to logically present voluminous data in a concise, understandable formatAbility to perform several projects while maintaining rigid deadlinesAbility to prepare basic financial and statistical reportsDemonstrated strong analytical and problem-solving skillsAbility to build, maintain, and upgrade financial models utilizing complex actuarial conceptsFamiliarity and/or comfort with coding required Preferred: Medicare Supplement pricing experienceExperience with running SQL queries.Insurance Industry ExperienceALFA experience.About us:Since our start in 1902, Physicians Mutual Insurance Company has held to our founder’s promise — to provide protection to families when they need it most. In 1970, Physicians Life Insurance Company was founded and became a member of the Physicians Mutual family.  Today, we offer health, life and retirement products to millions of people from all walks of life. We’ve been here for them. Listening. Answering questions. Empowering them with the specialized guidance they need to make confident decisions about their insurance.  Over the years, our dedication to delivering on our promise has helped make us one of the nation’s leading health and life insurance providers. In fact, we are rated in the top 1% of insurance companies. We consistently maintain some of the highest financial strength ratings in the nation from independent insurance analysts, including A.M. Best Company and Weiss Ratings, ensuring we’ll be there for our policyowners and our employees far into the future.But the achievement we’re most proud of? We have a 95% customer approval rating – a true sign of a company dedicated to embodying its vision.      Job Requirements          Category          Corporate Actuarial / Finance          Job Type          Full-time          Travel    
Knowesis, Inc.	Project/Product Management Analyst (Warfighter Protection and Acute Care)	Hybrid remote in Fort Detrick, MD 21702	PM	ENTRY_LEVEL	NA
Rapsodo	Diamond Sports Associate Product Manager	St. Louis, MO	PM	ENTRY_LEVEL	NA	Rapsodo Inc. is a sports analytics company that uses computer vision and machine learning to help all athletes maximize their performance. Our proprietary technology applications range from helping PGA Tour golfers optimize their launch conditions to allowing MLB pitchers to increase the efficiency of their breaking balls. Current partners include all 30 MLB teams, MLB, USA Baseball, Golf Digest, PGA of America, and over 1000 NCAA athletic departments. Rapsodo is seeking an Associate Product Manager to continue driving growth and innovation within its successful line of baseball and softball technology products. This role is a key contributor within the Diamond Sports team and requires a strong focus on identifying critical customer needs, translating those into product requirements and partnering cross-functionally to make those products a reality. The Associate Product Manager will be highly focused on the customer experience and will assist in the complete product life cycle to ensure ongoing customer engagement, satisfaction and attainment of business goals. Duties and Responsibilities: Assist the Product Manager within the various components of the product lifecycle processes for the assigned category; Including product research, market research, competitive analysis, planning, positioning, roadmap development, requirements development, and product/feature launch Based on deep understanding of customer needs, translate product strategy into detailed requirements for concepting and final product development by engineering teams Work closely with PM to help build product strategy documents that describe business cases, high-level use cases, technical requirements, revenue, and ROI Collaborate closely with engineering, production, marketing, and sales teams on the development, QA, and release of products and balance of resources to ensure success for the entire organization Provide subject matter expertise and support as necessary to key internal partners (Marketing, Sales/Account Management, Customer Care) Develop a deep understanding of key business metrics to offer data-driven insights about what new products or features have a meaningful impact on customer engagement and lifetime value Partner internally in developing strategies to positively impact customer retention and engagement Champion product quality and customer satisfaction for product lines under management Requirements Skills & QualificationsA bachelor’s degree 1-2 years of work experience in a product management role Strong project and timeline management skills Prior experience with technology products and software as a service (SaaS) business models preferred Passionate about the customer experience and satisfaction Excellent written and verbal communication skills Self-starter who can prioritize work in a fast-paced environment with minimal supervision Great interpersonal, problem-solving, analytical, and research skills Strong time-management skills and ability to adhere to schedules Proficiency in Microsoft Office Suite and all current MS operating systems Experience with Jira/Confluence or similar project management tools preferred Passion and prior involvement with baseball and/or softball is a bonus For additional information about Rapsodo Inc., please visit our website at www.rapsodo.com.
ST Engineering iDirect	Product Owner - Hardware	Remote in Herndon, VA 20171	PM	ENTRY_LEVEL	NA	 Overview:   ST Engineering iDirect is a global leader in satellite communications (satcom) providing technology and solutions that enable its customers to expand their business, differentiate their services and optimize their satcom networks. Our business provides innovation focused on solving satellite’s most critical economic and technology challenges, and expands a shared commitment to shaping the future of how the world connects. With your talent and energy paired with our vision and technical leadership, the most fulfilling work of your career is waiting for you at ST Engineering iDirect…the sky is truly the limit! We are seeking a highly motivate Product Owner with a strong background in Product Development Process who loves to collaborates with different teams to define the sprints and ensure timely-complete-quality delivery of the product. Responsibilities:  Work with Product Manager(s) and customers to understand and transforms the strategic vision of the product into deliverable iterations for their respective product teams. Prioritize work based on stakeholder needs Maintain the conceptual and technical integrity of the product’s features Develop subject matter expertise related to the products. Play a pivotal part in articulating the value of products to engineers and analysts Develop deep understanding of the industry’s megatrends and current technical situation to drive strategic roadmaps and measurable value creation Serve as sole interface with scrum/project team(s) by working with key project stakeholders and consolidating, validating and filtering requests for new requirements Identify, manage and escalate issues/obstacles to the delivery the defined product Responsible for delivering finished product (including documentation, adequate testing, appropriate functional and performance capabilities) Building a relationship with the teams based on trust and mutual respect Being able to listen, to show empathy, but also be decisive and be able to communicate clear and concise Qualifications:   Education: • Bachelor's degree in IT, Computer Science, Computer Engineering, or equivalent experience in a related career field.  Travel Requirements: 10% or less required  Required Qualifications: Experience in networking and telecommunications.- 1-3 years ideally Product or service development process/management experience . - 2+ years Ability to lead teams and drive projects to successful outcomes. Ideal candidate will be either –   A product owner who understands the principals of data generation and transfer, with background in wifi/telecoms (is a plus). Or    A business analyst - with IT background, or understanding of networking principals, Or    A business analyst with engineering background, Or    A solutions architect who would like to explore a new career path, Or    A scrum Master.  Preferred Qualifications:  Experience within software engineering, especially developing with infrastructure as code. Must be able to understand the technical aspect of the product. Experience in satellite communication is a plus Demonstrates excellent collaboration and communication skills across a broad set of users or stakeholders  Previous experience as a product owner  Proven experience in setting direction for technology teams, prioritizing development activities, and driving new product development investments in an organization using Agile methodologies. Agile certification is a plus.   #LI-PS1 
Specialisterne	Associate, Technology & Strategy Product Manager	Pittsburgh, PA 15258 (Central Business District area)	PM	ENTRY_LEVEL	$60,000 - $90,000 a year	Specialisterne is recruiting! Specialisterne connects qualified neurodivergent* candidates to employment opportunities in numerous industries and sectors in Canada and the US. To apply, you will have experienced barriers getting and/or maintaining meaningful employment and identify with one of the following: Autism (including Asperger’s and PDD-NOS) Attention Deficit/Hyperactivity Disorder (ADHD) or Attention Deficit Disorder (ADD) Learning Disability (e.g., dyslexia, dyscalculia, dysgraphia) Intellectual Disability Obsessive Compulsive Disorder (OCD) Tourette Syndrome - Summary Organization: BNY Mellon Job Title: Associate, Technology & Strategy Product Manager Locations: Pittsburgh, PA; New York, NY; Washington, DC Target Start Date: December 2023 Employment Terms: This is an apprenticeship to full-time contract role: Apprenticeship -    Remote, 12 weeks duration Hours: 8:30am-5:00pm, flexible start time up to 9am Estimated Pay Rate: $60/hourly Contract -    Hybrid (3 days per week in office required), 1 year duration Hours: 8:30am-5:00pm, flexible start time up to 9am Estimated Salary Range: $60,000-$90,000/yearly Essential Tasks - In this job, you will: Own select emerging technology products oriented towards Federal, State and Local clients with a full grasp of the market and next generation innovations. You’ll share that knowledge broadly, using this expertise to define strategy and inform the product roadmap. Develop leading services to support both internal team and external clients seeking powerful tools to help meet their mission goals. Your focus will be on quality delivery and adoption. Contribute to the ongoing development of new client-facing products and support the buildout of a potential client-facing platform serving millions. Perform market studies to best position emerging technology solutions with market and client needs. General Skills and Abilities - In this job you will demonstrate: An eagerness to work with emerging technologies The ability to thrive independently in a fast-paced, unpredictable environment The ability to present new ideas to a diverse team of engineers, product managers, and business leaders, and persuade others A desire to become an integral part of a complex team and lead from within A passion for improving our services and client delivery of elegant and powerful digital tools they will want to use The ability to capture and process information quickly with a strong attention to detail The ability to clearly define strategy or approach Digital/Technical Skills - In this job you will demonstrate: Intermediate skill level with Excel and other Microsoft Office Suite applications (For example: Tracking data, manipulating data, and developing formulas) Jira is a nice to have but not required Education/Knowledge - In this job you need to have: Bachelor's degree or equivalent experience in the Financial Services industry Experience - In this job you need to have: Experience (professional, personal, or academic) in government, such as an internship, a summer job, or a co-op program Social Interaction - The following types of communication and interaction are required to perform the job successfully: Oral communication: Hourly Email communication: Constantly Instant messaging: Constantly Telephone communication: Hourly Video communication: Daily (camera on is preferred) Interacting with supervisors: Daily Interacting with peers: Constantly Interacting with customers: Weekly Selling or influencing others: Constantly Training or teaching others: Weekly Job Stressors - Employees sometimes find the following stressful about this job: Fast-paced, unpredictable work environment Working with large amounts of technical information from various different sources can be overwhelming and frustrating Clients can often be challenging Job Motivators - Employees tend to find the following motivating or rewarding: Gaining exposure to emerging technologies The opportunity to help the US government improve processes to accomplish their mission and goals Working on a team that upholds strong core values and demonstrates honesty, transparency, and ethical behavior in their actions and decisions BNY Mellon’s award-winning company culture, including recognition as Fortune World’s Most Admired Companies & Top 20 for Diversity and Inclusion, Best Places to Work for Disability Inclusion (Disability: IN – 100% score), and more. Candidate Assessment - To be considered for this role, compatible applicants: Will complete a Candidate Profile May complete a short work sample exercise Will be invited to participate in an Structured Candidate Meeting with the hiring manager(s) Workplace Support Specialisterne and our employer partners are committed to providing inclusive onboarding experiences and supporting new employees as they learn on the job All new hires continue to liaise with a Specialisterne Workplace Support Specialist for their first twelve weeks on the job lRp4tspdgT
TRA'BIAN ENTERPRISES	Project Manager/Product Owner	Hybrid remote in Columbus, OH	PM	ENTRY_LEVEL	NA	LOCATION: Columbus, Ohio POSITION TYPE: 1 year contract POSITION TERM: Work remotely, but have availability for hybrid work depending on the needs of the Client  Candidate local to Columbus, Ohio area preferred  The primary responsibility of the Project Manager/Product Owner is to lead the delivery and implementation of a software application, coordinating the project activities with diverse groups, including business users, external users, project stakeholders, and external vendors. The Project Manager must have a Product Owner mindset to ensure that the project is completed on schedule and that the final product meets the business, technical, and established quality requirements.  Manages, coordinates, and establishes priorities over the complete lifecycle of the project, including the planning, design, programming, testing, and implementation of the business solutions designed to meet requirements of the business users and stakeholders. Coordinates the project plan to define major tasks and milestones, based on scope, resources, budget, and personnel. Develop estimates for enhancement or new development efforts in planning, analysis, design, construction, testing, and implementation. Identify, manage, and report program risk, and develop risk mitigation strategies. SKILLS: Experience as a Project Manager, Program Manager or Product Owner, including using project management and agile development tools Required 8  Experience with full lifecycle implementation projects from requirements definition through implementation Required 4  Documented experience in vendor management and the implementation of third-party applications Required  Demonstrated leadership ability in leading teams of stakeholders, business analysts, developers, etc. Required
TWD TradeWinds, Inc	Product Management Associate	Rochester, NY	PM	ENTRY_LEVEL	$48,000 - $56,000 a year	Product Management Associate Job descriptionSeeking motivated individual to work in our Marketing Department as a Product Management Associate for both TWD Tradewinds and The LabMart. TWD Tradewinds is an industry leader of innovative laboratory products, including both plastic and glass consumable labware. The LabMart is a laboratory distribution business of the TWD Tradewinds group of companies, consisting of Dot Scientific Inc. (Michigan), Laboratory Product Sales, Inc. (New York), and JH Berge, Inc. (New Jersey). This job will be based in the Laboratory Product Sales office in Rochester, NY, reporting to the VP of Marketing.Responsibilities include but are not limited to,· Maintain existing product portfolio and develop new products.· Assist in pricing decisions and coordinate annual pricing process.· Provide and coordinate sales support for our field Sales Representatives by creating relevant flyers, literature pieces, and brochures.· Help develop sales promotions with our Vendors for all including review and tracking. Secure co-op advertising dollars from vendors for sales promotions.· Web and Social Media promotion as well as traditional catalog creation, printing, and distribution.· Data management of Customer database for catalog and email campaigns, and sales promotions for all marketing channels.· Coordinate Sales meetings and training with our sales group.· Keep a trade show calendar and provide support materials for all shows.Requirements:· Must have excellent communication skills.· Must be PC literate (highly efficient in MS Excel).· Science background required, Chemistry or Biology preferred.· 2+ years of sales or laboratory experience a plus.· Excellent interpersonal skills.· Demonstrated organizational and time management skills.· Drive to be successful.· Some travel may be required.Job Type: Full-time· Compensation: starting annual salary from $48,000, commensurate with skills and experience, plus bonus.Benefits:401(k) matchingHealth insurancePaid time offSchedule:Monday to Friday 8:00 to 5:00Education:Bachelor of Science (Required)Work Location:Pleasant Prairie, WisconsinJob Type: Full-timePay: $48,000.00 - $56,000.00 per yearBenefits:401(k)401(k) matchingHealth insurancePaid time offCompensation package:Performance bonusExperience level:2 yearsSchedule:Day shiftMonday to FridayAbility to commute/relocate:Rochester, NY: Reliably commute or planning to relocate before starting work (Required)Experience:Agile: 1 year (Preferred)Willingness to travel:25% (Required)Work Location: In person
VK Design	Manager - National Product Distribution	North Platte, NE	PM	ENTRY_LEVEL	$60,000 - $80,000 a year	About the RoleWe are a custom manufacturer of high end products for residential and commercial interiors. We are looking for someone who has experience managing a crew of 10 - 15 peoplePrimary SkillsApplicants will be required to perform many tasks. Including, but not limited to:OrganzationLayoutCADComputer SkillsQuality ControlInstallation knowledgeReading shop drawingsDelivery SchedulingGeneral woodworking skillsAll around general manufacuring knowledge.About the CompanyOriginally launched in mid-90s VK Design has been a national leader in producing high end products for the Architectural and Design industry..BenefitsWe're offering competitive compensation. Health Insurance. 401kJob Types: Full-timePay: $60k - 80k per yearBenefits:Health insurancePaid time offSchedule:Typical 40 hr weekRare weekendsExperience:Management 1 yr minWork Location: OGALLALA #hc90504
Deep Origin	Product Manager - Life Sciences Software	Remote	PM	ENTRY_LEVEL	NA	BiosimAI accelerates drug discovery by developing unprecedented predictive models of biological systems, based on combining AI and physics simulations. We pioneered many powerful algorithms, which enable finding novel drugs against challenging and even currently "undruggable" targets. The team of outstanding scientists and engineers is led by Dr. Garegin Papoian, who has introduced many world-leading algorithms, including in protein folding and 3D modeling of cells. BiosimAI works in strategic partnership with Deep Origin, a visionary venture sculpting the future of life science, led by Michael Antonov, a co-founder of Oculus, and funded by Formic Ventures. BiosimAI and Deep Origin are poised to accelerate science and extend healthspan. We are looking for a Product Manager to own the user experience for our suite of simulations software products. This position is open worldwide as a remote employee, although we prefer candidates in Eastern US or Europe. RequirementsExtensive experience in drug discovery. Understanding of users/researchers and their perspectives in the drug discovery world, their motivations, needs, buying behaviors, purchasing patterns, etc.A vision for how to address customer needsA good eye for an awesome UI/UXAbility to develop a product visionAbility to communicate with customers to understand their needs, collect feedback, and establish a product market fitAbility to work with a global software development team to implement the UI/UX. This includes directing the team through meetings, documentation, user stories, vision sharing, JAD sessions, translation of of customer needs, etc.Attend conferences, events, webinars, and demos to learn more about customers needs, validate our hypothesis, present our product and be ahead of industry developments.Advanced knowledge of the subject matter. PhD is preferred but not required.
Stanley Black & Decker	Associate Product Manager - Wood Fasteners	Hybrid remote in Towson, MD	PM	ENTRY_LEVEL	NA	Associate Product Manager- Towson, MD-HybridMake Your Mark. Shape Your Future. It takes great people to achieve greatness. People with a sense of purpose and integrity. People with a relentless pursuit of excellence. People who care about making things better For Those Who Make The World™. Sound like you? Join our top-notch team of nearly 60,000 professionals globally who are making their mark on some of the world's most beloved brands, including DEWALT®, CRAFTSMAN®, CUB CADET®, STANLEY® and BLACK+DECKER® The Job  As an Associate Product Manager, you'll be part of our Power Tool Group (PTG) Product team based in Towson, MD. You'll get to:  Manage and grow existing business: create plans to increase sales of existing categories and identify cost reduction/value improvement opportunities. Lead the cross functional team throughout the entire lifecycle of product development. This includes the ability to facilitate and coordinate a diverse group of teams including engineering, channel, brand, graphics, sourcing, manufacturing, legal, finance, supply, and quality teams. Actively communicate status of projects to all project stakeholders, including cross functional teams and senior management. Develop all marketing materials including packaging, presentations, merchandising, and other collateral in order to commercially launch new products. Conduct comprehensive Product landscapes & pricing analysis which drives product positioning in marketplace relative to competition and margin targets. Work closely with the global team to deliver projects that drive new product development. Prepare financial analysis for portfolio evaluation and decision making. Participate in forecasting/capacity planning with channel, sales, and supply chain. Perform competitive tracking analysis and market data collection. Create and execute end-user-based research to build a clear understanding of all relevant product applications becoming the product expert for all categories within wood fasteners. The Person  You love to learn and grow and be acknowledged for your valuable contributions. You're not intimidated by innovation. In fact, you embrace it. You also have:  Bachelor's degree preferred in business, marketing or engineering Experience in Construction industry highly desired. Experience using power tools. Ability to travel (10%) for business required. This include visiting residential and commercial jobsites. Proficient/Advanced user of Excel. Working Knowledge of Power Point, Outlook, Word, SAP, and BW. Marketing and/or Sales experience in Consumer or Commercial goods preferred. Ability to strategically analyze large data sets, draw conclusions and problem solve. Ability to lead and interact with cross functional teams. Strong project management skills The Details  You'll receive a competitive salary and a great benefits plan:  Medical, dental, life, vision, wellness program, disability, 401(k), Employee Stock Purchase Plan, paid time off, and tuition reimbursement. Discounts on Stanley Black & Decker tools and other partner programs. And More  We want our company to be a place you'll want to be - and stay. Being part of our team means you'll get to:  Grow: Be part of our global company with 20+ brands to grow and develop your skills along multiple career paths. Learn: Have access to a wealth of learning resources, including our Lean Academy, Coursera®, and online university. Belong: Experience an awesome place to work, where we have mutual respect and a great appreciation for diversity, equity, and inclusion. Give Back: Help us continue to make positive changes locally and globally through volunteerism, giving back, and sustainable business practices. What's more, you'll get that pride that comes from empowering makers, doers, protectors, and everyday heroes all over the world. We're more than the #1 tools company. More than a driving force in outdoor power equipment. More than a global leader in industrial. We're visionaries and innovators. As successful as we've been in the past, we have so much further to go. That's where you come in. Join us!  #LI-RW1 #LI-Hybrid   All qualified applicants to Stanley Black & Decker are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran's status, or any other protected characteristic.  We Don't Just Build The World, We Build Innovative Technology Too.  Joining the Stanley Black & Decker team means working in an innovative, tech-driven and highly collaborative team environment supported by over 58,000 professionals in 60 countries across the globe. Here, you'll get the unique chance to impact some of the world's most iconic brands including STANLEY TOOLS, DEWALT, CRAFTSMAN, MAC TOOLS and Black + Decker. Your ideas and solutions have the potential to reach millions of customers as we work together to write the next chapter in our history. Come build with us and take your career to new heights.  Who We Are  We're the World's largest tool company. We're industry visionaries. We're solving problems and advancing the manufacturing trade through innovative technology and our Industry 4.0 Initiative. We are committed to ensuring our state-of-the-art "smart factory" products and services provide greater quality to our customers & greater environmental and social value to our planet. We are unique in that we have a rich and storied history dating back to 1843, but that hasn't stopped us from evolving into a vibrant, diverse, global growth company.  Benefits & Perks You'll get a competitive salary and a comprehensive benefits plan that includes medical, dental, life, vision, wellness program, disability, retirement benefits, Employee Stock Purchase Plan, Paid Time Off, including paid vacation, holidays & personal days, and tuition reimbursement. And, of course, discounts on Stanley Black & Decker tools and products and well as discount programs for many other vendors and partners. What You'll Also Get Career Opportunity: Career paths aren't linear here. Being part of our global company with 60+ brands gives you the chance to grow and develop your skills along multiple career paths. Learning & Development:  Our lifelong learning philosophy means you'll have access to a wealth of state-of-the-art learning resources, including our Lean Academy and online university (where you can get certificates and specializations from renowned colleges and universities).  Diverse & Inclusive Culture: We pride ourselves on being an awesome place to work. We respect and embrace differences because that's how the best work gets done. You'll find we like to have fun here, too.  Purpose-Driven Company: You'll help us continue to make positive changes in the local communities where we work and live as well as in the broader world through volunteerism, giving back and sustainable business practices.  EEO Statement: All qualified applicants to Stanley Black & Decker are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran's status or any other protected characteristic.
America On Tech	Product Management Instructor (C)	Los Angeles, CA	PM	ENTRY_LEVEL	Estimated $41.8K - $52.9K a year	Position Title: Product Management Instructor  Position Type: Contract (January 2024 - May 2024)  Contract Rate: $3,600 per cohort (1 cohort available)  Location: Los Angeles (Hybrid)  Deadline to apply: Friday, December 1, 2023 but will be reviewing apps on a rolling basis!  About America On Tech:   America On Tech is an award-winning, early pipeline technology talent accelerator on a mission to decrease the racial wealth gap by creating pathways for underestimated students to thrive in technology and innovation. To date, we have worked with 3,500+ students by leveraging the time, talent and expertise of software engineers and technology professionals to teach our tuition-free courses and help provide work-based internship and learning programs to promote the advancement of underrepresented students into technology pathways. Founded in 2014, AOT’s work has been featured in Forbes, CNN, The Huffington Post, TechCrunch, BET and other leading publications. AOT has also been awarded by Forbes 30 Under 30, Wells Fargo and the Brooklyn Borough President’s Office.  Who We Are Looking For:   We are currently looking for exciting and engaging   Product Management Instructors to deliver the Product Management sessions of our Tech Flex Leaders program using the AOT Product Management curriculum. The Tech Flex Leaders (TFL) Program is an immersive out-of-school time program for juniors and seniors enrolled in a New York City, Los Angeles, or Miami high school. This program engages students interested in technology through weekly technical training sessions taught by industry experts, intersectional professional development sessions designed to prepare students to confidently pursue degrees and careers in technology, and career days and mentorship opportunities with representatives from leading technology companies.  Technical sessions are held virtually over Zoom and in-person. This is a great opportunity for a career technologist looking to inspire the next generation of technology leaders. Successful candidates are solutions-oriented, data loving, entrepreneurial and passionate about education.  TFL Instructors will report to the Program Director and work closely with the Program Team to ensure high-quality instruction.  Instructor Responsibilities: Attend a 1-hour onboarding session on January 10th from 4:00 PM - 5:00 PM PST Commit to 5 hours/week, including instructional time, optional student office hours, and prep/planning time    1 cohort available      Instruct all sessions of the AOT Product Management curriculum on Thursdays from 4:00 PM - 7:00 PM PST. NOTE: Students are in the session from 4:30 PM - 6:30 PM; The additional time before and after session will be spent syncing with the Program Manager and prepping for the session Student office hour and prep/planning time schedule would be determined with Program Director upon hire Support Program Manager with assessment of student projects and assignments Work with Program Manager and Program Director to discuss curriculum adjustments, as needed Plan engaging activities that complement AOT curriculum and respond to student need Session Dates: All session dates are virtual, unless otherwise noted. Thursday, January 18, 2024 [In-Person] Thursday, January 25, 2024 Thursday, February 1, 2024 Thursday, February 8, 2024 Thursday, February 15, 2024 Thursday, February 22, 2024 Thursday, March 7, 2024 Thursday, March 14, 2024 Thursday, April 4, 2024 Thursday, April 11, 2024 Thursday, April 18, 2024 Thursday, April 25, 2024 Thursday, May 2, 2024 Thursday, May 9, 2024 Thursday, May 16, 2024 Thursday, May 23, 2024 [In-Person] Tuesday, May 28, 2024 [In-Person Graduation] Qualifications: Expertise and/or experience in Product Management Ability to explain Product Management concepts in multiple ways Ability to pivot while facilitating a session Strong communication and facilitation skills with an eye for cultural competency Ability to collaborate and work effectively in a fast-paced team environment Proficiency in Google Suite (especially Google Docs, Google Slides, Google Sheets and Google Classroom) Experience teaching in front of a class of high school students is a PLUS! Education: Relevant Bachelor's Degree All applicants will be considered. Only those selected for an interview will be contacted. AOT is an Equal Opportunity Employer and does not discriminate on the basis of race, color, gender, handicap, age, religion, sexual orientation, or national or ethnic origin. 
Capital Lumber	Inside Sales/Product Manager	Tacoma, WA 98421 (New Tacoma area)	PM	ENTRY_LEVEL	$50,000 - $70,000 a year	Position Summary: Contacts current and potential customers by phone to grow prospects and sales.Key Competencies:Building Collaborative RelationshipsInnovation / CreativityAdaptabilityDeveloping Self & OthersPrincipal Accountabilities& Deliverables:Receives and writes orders from customers over the phone providing pricing, productand delivery informationServices customers at the walk in counter who may need information or productFields phone and in-person inquiries providing pricing/quotes from established pricebooks/lists and product informationCoordinates orders with yard personnelAssists customers with problemsCommunicates order information and status to appropriate Account Managers for theircustomersParticipates in physical inventoriesMaintain on-going product knowledgePerform other work related duties as assigned by your supervisor and be flexible andadaptable to changes that will occur during the course of employmentKnowledge, Skills, & AbilitiesEducation / Experience and Skills:Minimum of an Associates degree from an accredited academic institution or commensurate industry experienceAbility to model the Capital valuesAbility to multi-task and have multiple projects going simultaneously, while maintaining high quality resultsAbility to inspire, motivate and engage commitment of customers and team membersA strong sense of urgency for goal achievementAbility to be collaborative and provide innovative solutionsKnowledge of the industry, Capital and the products and services providedAbility to drive and be accountable for results in a fast paced environmentDemonstrated proficiency in MS Office products (Word, Excel, and PowerPoint).Abilities:Must be able to lift, carry, push, or pull up to 50 pounds 5% or less of the workdayMust be able stoop, kneel, crouch, or crawl 5% or less of the workdayMust be able to sit and walk or otherwise move around for prolonged periods of time throughout the workday.Must be able to use a keyboard and do manual tasks for prolonged periods of time throughout the workday.Work Environment:85% of work is performed indoors in a climate controlled environment, 15% is performed outdoors.Job Type: Full-timePay: $50,000.00 - $70,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceDisability insuranceEmployee discountFlexible scheduleHealth insurancePaid time offPaid trainingTuition reimbursementVision insuranceExperience level:2 yearsShift:8 hour shiftDay shiftMorning shiftNo nightsSupplemental pay types:Commission payWeekly day range:Monday to FridayWork setting:In-personOfficeAbility to commute/relocate:Tacoma, WA 98421: Reliably commute or planning to relocate before starting work (Required)Experience:Customer service: 1 year (Preferred)Work Location: In person
