location	values	latitude	longitude	region	county	locality
Boise, ID 83702 (West Downtown area)	{'latitude': 43.60859, 'longitude': -116.22749, 'type': 'locality', 'name': 'Boise', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Idaho', 'region_code': 'ID', 'county': 'Ada County', 'locality': 'Boise', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Boise, ID, USA', 'map_url': 'https://map.positionstack.com/export/embed.html?bbox=-116.24748987,43.5885901073,-116.20748987,43.6285901073&layer=mapnik&marker=43.60859,-116.22749'}	43.60859	-116.22749	Idaho	Ada County	Boise
Dayton, OH 45433	{'latitude': 39.760973, 'longitude': -84.198938, 'type': 'locality', 'name': 'Dayton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Montgomery County', 'locality': 'Dayton', 'administrative_area': 'Dayton', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Dayton, OH, USA', 'map_url': 'https://map.positionstack.com/export/embed.html?bbox=-84.311377,39.701834,-84.092938,39.920823&layer=mapnik&marker=39.760973,-84.198938'}	39.760973	-84.198938	Ohio	Montgomery County	Dayton
Midvale, UT	{'latitude': 40.613998, 'longitude': -111.895429, 'type': 'locality', 'name': 'Midvale', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Utah', 'region_code': 'UT', 'county': 'Salt Lake County', 'locality': 'Midvale', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Midvale, UT, USA'}	40.613998	-111.895429	Utah	Salt Lake County	Midvale
Southington, CT 06489	{'latitude': 41.60494, 'longitude': -72.88013, 'type': 'locality', 'name': 'Town of Southington', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Connecticut', 'region_code': 'CT', 'county': 'Hartford County', 'locality': 'Town of Southington', 'administrative_area': 'Southington', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Town of Southington, CT, USA'}	41.60494	-72.88013	Connecticut	Hartford County	Town of Southington
Reston, VA (Sunset Hills area)	{'latitude': 38.947454, 'longitude': -77.327638, 'type': 'venue', 'name': 'Sunset Hills Automotive', 'number': '11104', 'postal_code': '20190', 'street': 'Sunset Hills Road', 'confidence': 0.8, 'region': 'Virginia', 'region_code': 'VA', 'county': 'Fairfax County', 'locality': 'Reston', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Sunset Hills Automotive, Reston, VA, USA'}	38.947454	-77.327638	Virginia	Fairfax County	Reston
Nashville, TN 37201	{'latitude': 36.166001, 'longitude': -86.777305, 'type': 'postalcode', 'name': '37201', 'number': None, 'postal_code': '37201', 'street': None, 'confidence': 1, 'region': 'Tennessee', 'region_code': 'TN', 'county': 'Davidson County', 'locality': 'Nashville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '37201, Nashville, TN, USA'}	36.166001	-86.777305	Tennessee	Davidson County	Nashville
Secaucus, NJ 07094	{'latitude': 40.781958, 'longitude': -74.067649, 'type': 'postalcode', 'name': '07094', 'number': None, 'postal_code': '07094', 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Hudson County', 'locality': 'Secaucus', 'administrative_area': 'Secaucus', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '07094, Secaucus, NJ, USA'}	40.781958	-74.067649	New Jersey	Hudson County	Secaucus
Austin, PA 16720	{'latitude': 41.63731, 'longitude': -78.09034, 'type': 'locality', 'name': 'Borough of Austin', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Potter County', 'locality': 'Borough of Austin', 'administrative_area': 'Austin', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Borough of Austin, PA, USA'}	41.63731	-78.09034	Pennsylvania	Potter County	Borough of Austin
Fenton, MO 63026	{'latitude': 38.536552, 'longitude': -90.454252, 'type': 'locality', 'name': 'Fenton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Missouri', 'region_code': 'MO', 'county': 'St. Louis County', 'locality': 'Fenton', 'administrative_area': 'Bonhomme Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fenton, MO, USA'}	38.536552	-90.454252	Missouri	St. Louis County	Fenton
Boston, MA 02108 (Beacon Hill area)	{'latitude': 42.355492, 'longitude': -71.048611, 'type': 'locality', 'name': 'Boston', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Suffolk County', 'locality': 'Boston', 'administrative_area': 'Boston', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Boston, MA, USA'}	42.355492	-71.048611	Massachusetts	Suffolk County	Boston
Orlando, FL	{'latitude': 28.41959, 'longitude': -81.293691, 'type': 'locality', 'name': 'Orlando', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Orange County', 'locality': 'Orlando', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Orlando, FL, USA'}	28.41959	-81.293691	Florida	Orange County	Orlando
Austin, TX 78744	{'latitude': 30.17681, 'longitude': -97.72586, 'type': 'postalcode', 'name': '78744', 'number': None, 'postal_code': '78744', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Travis County', 'locality': 'Austin', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '78744, Austin, TX, USA'}	30.17681	-97.72586	Texas	Travis County	Austin
Sugar Land, TX 77478	{'latitude': 29.620312, 'longitude': -95.605693, 'type': 'postalcode', 'name': '77478', 'number': None, 'postal_code': '77478', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Fort Bend County', 'locality': 'Sugar Land', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '77478, Sugar Land, TX, USA'}	29.620312	-95.605693	Texas	Fort Bend County	Sugar Land
Los Angeles, CA 90037 (South Los Angeles area)	{'latitude': 34.05513, 'longitude': -118.25703, 'type': 'locality', 'name': 'Los Angeles', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Los Angeles', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Los Angeles, CA, USA'}	34.05513	-118.25703	California	Los Angeles County	Los Angeles
Dayton, OH	{'latitude': 39.760973, 'longitude': -84.198938, 'type': 'locality', 'name': 'Dayton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Montgomery County', 'locality': 'Dayton', 'administrative_area': 'Dayton', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Dayton, OH, USA'}	39.760973	-84.198938	Ohio	Montgomery County	Dayton
Jonesboro, GA 30236	{'latitude': 33.520345, 'longitude': -84.354157, 'type': 'locality', 'name': 'Jonesboro', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Clayton County', 'locality': 'Jonesboro', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Jonesboro, GA, USA'}	33.520345	-84.354157	Georgia	Clayton County	Jonesboro
Fort Worth, TX 76131 (Far North area)	{'latitude': 32.729442, 'longitude': -97.33181, 'type': 'locality', 'name': 'Fort Worth', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Tarrant County', 'locality': 'Fort Worth', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fort Worth, TX, USA'}	32.729442	-97.33181	Texas	Tarrant County	Fort Worth
Boise, ID 83713 (West Valley area)	{'latitude': 43.945777, 'longitude': -115.884627, 'type': 'county', 'name': 'Boise County', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.4, 'region': 'Idaho', 'region_code': 'ID', 'county': 'Boise County', 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Boise County, ID, USA'}	43.945777	-115.884627	Idaho	Boise County	
Phoenix, AZ 85004 (Encanto area)	{'latitude': 33.451567, 'longitude': -112.069886, 'type': 'postalcode', 'name': '85004', 'number': None, 'postal_code': '85004', 'street': None, 'confidence': 1, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Maricopa County', 'locality': 'Phoenix', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '85004, Phoenix, AZ, USA'}	33.451567	-112.069886	Arizona	Maricopa County	Phoenix
Brooklyn, NY 11201	{'latitude': 40.652256, 'longitude': -73.956582, 'type': 'borough', 'name': 'Brooklyn', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New York', 'region_code': 'NY', 'county': 'Kings County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Brooklyn, New York, NY, USA'}	40.652256	-73.956582	New York	Kings County	New York
Chesapeake, VA 23320 (Greenbrier East area)	{'latitude': 36.751734, 'longitude': -76.217637, 'type': 'postalcode', 'name': '23320', 'number': None, 'postal_code': '23320', 'street': None, 'confidence': 1, 'region': 'Virginia', 'region_code': 'VA', 'county': 'City of Chesapeake', 'locality': 'Chesapeake', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '23320, Chesapeake, VA, USA'}	36.751734	-76.217637	Virginia	City of Chesapeake	Chesapeake
Fayetteville, AR 72703	{'latitude': 36.072575, 'longitude': -94.157671, 'type': 'locality', 'name': 'Fayetteville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Arkansas', 'region_code': 'AR', 'county': 'Washington County', 'locality': 'Fayetteville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fayetteville, AR, USA'}	36.072575	-94.157671	Arkansas	Washington County	Fayetteville
Mount Horeb, WI 53572	{'latitude': 43.008518, 'longitude': -89.729985, 'type': 'locality', 'name': 'Mount Horeb', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Dane County', 'locality': 'Mount Horeb', 'administrative_area': 'Mount Horeb', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Mount Horeb, WI, USA'}	43.008518	-89.729985	Wisconsin	Dane County	Mount Horeb
Grand Rapids, MI 49509	{'latitude': 42.966406, 'longitude': -85.662014, 'type': 'locality', 'name': 'Grand Rapids', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Kent County', 'locality': 'Grand Rapids', 'administrative_area': 'Grand Rapids', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Grand Rapids, MI, USA'}	42.966406	-85.662014	Michigan	Kent County	Grand Rapids
Boca Raton, FL 33431	{'latitude': 26.374773, 'longitude': -80.106307, 'type': 'postalcode', 'name': '33431', 'number': None, 'postal_code': '33431', 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Palm Beach County', 'locality': 'Boca Raton', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '33431, Boca Raton, FL, USA'}	26.374773	-80.106307	Florida	Palm Beach County	Boca Raton
San Francisco, CA 94128	{'latitude': 37.778008, 'longitude': -122.431272, 'type': 'locality', 'name': 'San Francisco', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'San Francisco County', 'locality': 'San Francisco', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'San Francisco, CA, USA'}	37.778008	-122.431272	California	San Francisco County	San Francisco
Charlotte, NC 28206	{'latitude': 35.256127, 'longitude': -80.820999, 'type': 'postalcode', 'name': '28206', 'number': None, 'postal_code': '28206', 'street': None, 'confidence': 1, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Mecklenburg County', 'locality': 'Charlotte', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '28206, Charlotte, NC, USA'}	35.256127	-80.820999	North Carolina	Mecklenburg County	Charlotte
Savage, MN	{'latitude': 44.758672, 'longitude': -93.357967, 'type': 'locality', 'name': 'Savage', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Scott County', 'locality': 'Savage', 'administrative_area': 'Savage', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Savage, MN, USA'}	44.758672	-93.357967	Minnesota	Scott County	Savage
San Antonio, TX 78204 (Lone Star area)	{'latitude': 29.374994, 'longitude': -98.588562, 'type': 'locality', 'name': 'San Antonio', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Bexar County', 'locality': 'San Antonio', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'San Antonio, TX, USA'}	29.374994	-98.588562	Texas	Bexar County	San Antonio
Lakewood, CO 80235	{'latitude': 39.717449, 'longitude': -105.089117, 'type': 'locality', 'name': 'Lakewood', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Jefferson County', 'locality': 'Lakewood', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lakewood, CO, USA'}	39.717449	-105.089117	Colorado	Jefferson County	Lakewood
Columbia, SC 29209 (Brandon Acres - Cedar Terrace area)	{'latitude': 34.044165, 'longitude': -80.846323, 'type': 'locality', 'name': 'Columbia', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'South Carolina', 'region_code': 'SC', 'county': 'Richland County', 'locality': 'Columbia', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Columbia, SC, USA'}	34.044165	-80.846323	South Carolina	Richland County	Columbia
Greenwood Village, CO 80111	{'latitude': 39.616948, 'longitude': -104.912096, 'type': 'locality', 'name': 'Greenwood Village', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Arapahoe County', 'locality': 'Greenwood Village', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Greenwood Village, CO, USA'}	39.616948	-104.912096	Colorado	Arapahoe County	Greenwood Village
Oak Creek, WI 53154	{'latitude': 42.878693, 'longitude': -87.898676, 'type': 'postalcode', 'name': '53154', 'number': None, 'postal_code': '53154', 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Milwaukee County', 'locality': 'Oak Creek', 'administrative_area': 'Oak Creek', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '53154, Oak Creek, WI, USA'}	42.878693	-87.898676	Wisconsin	Milwaukee County	Oak Creek
Burbank, CA 91505	{'latitude': 34.185797, 'longitude': -118.322584, 'type': 'locality', 'name': 'Burbank', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Burbank', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Burbank, CA, USA'}	34.185797	-118.322584	California	Los Angeles County	Burbank
Scottsdale, AZ	{'latitude': 33.687647, 'longitude': -111.856562, 'type': 'locality', 'name': 'Scottsdale', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Maricopa County', 'locality': 'Scottsdale', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Scottsdale, AZ, USA'}	33.687647	-111.856562	Arizona	Maricopa County	Scottsdale
Houston, TX 77064	{'latitude': 29.784753, 'longitude': -95.361416, 'type': 'locality', 'name': 'Houston', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Texas', 'region_code': 'TX', 'county': 'Harris County', 'locality': 'Houston', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Houston, TX, USA'}	29.784753	-95.361416	Texas	Harris County	Houston
Washington, DC 20540 (Capitol Hill area)	{'latitude': 38.887929, 'longitude': -77.004713, 'type': 'postalcode', 'name': '20540', 'number': None, 'postal_code': '20540', 'street': None, 'confidence': 1, 'region': 'District of Columbia', 'region_code': 'DC', 'county': None, 'locality': 'Washington', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '20540, Washington, DC, USA'}	38.887929	-77.004713	District of Columbia		Washington
Whitehouse Station, NJ	{'latitude': 40.61654, 'longitude': -74.769605, 'type': 'locality', 'name': 'Whitehouse Station', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Hunterdon County', 'locality': 'Whitehouse Station', 'administrative_area': 'Readington Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Whitehouse Station, NJ, USA'}	40.61654	-74.769605	New Jersey	Hunterdon County	Whitehouse Station
Sacramento, CA 95814 (Mansion Flats area)	{'latitude': 38.57873, 'longitude': -121.466786, 'type': 'locality', 'name': 'Sacramento', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Sacramento County', 'locality': 'Sacramento', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Sacramento, CA, USA'}	38.57873	-121.466786	California	Sacramento County	Sacramento
Richmond, VA 23173 (University of Richmond area)	{'latitude': 37.519231, 'longitude': -77.473927, 'type': 'locality', 'name': 'Richmond', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Virginia', 'region_code': 'VA', 'county': 'City of Richmond', 'locality': 'Richmond', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Richmond, VA, USA'}	37.519231	-77.473927	Virginia	City of Richmond	Richmond
Wichita, KS	{'latitude': 37.687288, 'longitude': -97.338469, 'type': 'locality', 'name': 'Wichita', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Kansas', 'region_code': 'KS', 'county': 'Sedgwick County', 'locality': 'Wichita', 'administrative_area': 'Wichita', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Wichita, KS, USA'}	37.687288	-97.338469	Kansas	Sedgwick County	Wichita
Pittsburgh, PA 15237	{'latitude': 40.450508, 'longitude': -79.936309, 'type': 'locality', 'name': 'Pittsburgh', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Allegheny County', 'locality': 'Pittsburgh', 'administrative_area': 'Pittsburgh', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Pittsburgh, PA, USA'}	40.450508	-79.936309	Pennsylvania	Allegheny County	Pittsburgh
Midvale, UT 84047	{'latitude': 40.615229, 'longitude': -111.890734, 'type': 'postalcode', 'name': '84047', 'number': None, 'postal_code': '84047', 'street': None, 'confidence': 1, 'region': 'Utah', 'region_code': 'UT', 'county': 'Salt Lake County', 'locality': 'Midvale', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '84047, Midvale, UT, USA'}	40.615229	-111.890734	Utah	Salt Lake County	Midvale
Detroit, MI 48201 (Downtown area)	{'latitude': 42.347021, 'longitude': -83.060184, 'type': 'postalcode', 'name': '48201', 'number': None, 'postal_code': '48201', 'street': None, 'confidence': 1, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Wayne County', 'locality': 'Detroit', 'administrative_area': 'Detroit', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '48201, Detroit, MI, USA'}	42.347021	-83.060184	Michigan	Wayne County	Detroit
Saint Paul, MN 55101 (Downtown area)	{'latitude': 44.951483, 'longitude': -93.090649, 'type': 'postalcode', 'name': '55101', 'number': None, 'postal_code': '55101', 'street': None, 'confidence': 1, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Ramsey County', 'locality': 'St. Paul', 'administrative_area': 'St. Paul', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '55101, St. Paul, MN, USA'}	44.951483	-93.090649	Minnesota	Ramsey County	St. Paul
Salt Lake City, UT 84120	{'latitude': 40.773201, 'longitude': -111.933984, 'type': 'locality', 'name': 'Salt Lake City', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Utah', 'region_code': 'UT', 'county': 'Salt Lake County', 'locality': 'Salt Lake City', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Salt Lake City, UT, USA'}	40.773201	-111.933984	Utah	Salt Lake County	Salt Lake City
New Canaan, CT 06840	{'latitude': 41.14676, 'longitude': -73.49484, 'type': 'locality', 'name': 'New Canaan', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Connecticut', 'region_code': 'CT', 'county': 'Fairfield County', 'locality': 'New Canaan', 'administrative_area': 'New Canaan', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'New Canaan, CT, USA'}	41.14676	-73.49484	Connecticut	Fairfield County	New Canaan
Columbus, IN 47201	{'latitude': 39.173698, 'longitude': -85.86449, 'type': 'locality', 'name': 'Columbus', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Indiana', 'region_code': 'IN', 'county': 'Bartholomew County', 'locality': 'Columbus', 'administrative_area': 'Columbus Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Columbus, IN, USA'}	39.173698	-85.86449	Indiana	Bartholomew County	Columbus
Mechanicsburg, PA 17055	{'latitude': 40.213158, 'longitude': -77.007868, 'type': 'locality', 'name': 'Mechanicsburg', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Cumberland County', 'locality': 'Mechanicsburg', 'administrative_area': 'Mechanicsburg', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Mechanicsburg, PA, USA'}	40.213158	-77.007868	Pennsylvania	Cumberland County	Mechanicsburg
Farmington Hills, MI 48334	{'latitude': 42.49874, 'longitude': -83.377121, 'type': 'locality', 'name': 'Farmington Hills', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Oakland County', 'locality': 'Farmington Hills', 'administrative_area': 'Farmington Hills', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Farmington Hills, MI, USA'}	42.49874	-83.377121	Michigan	Oakland County	Farmington Hills
Portsmouth, NH	{'latitude': 43.058708, 'longitude': -70.783285, 'type': 'locality', 'name': 'Portsmouth', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New Hampshire', 'region_code': 'NH', 'county': 'Rockingham County', 'locality': 'Portsmouth', 'administrative_area': 'Portsmouth', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Portsmouth, NH, USA'}	43.058708	-70.783285	New Hampshire	Rockingham County	Portsmouth
Sheboygan, WI 53081	{'latitude': 43.710329, 'longitude': -87.733076, 'type': 'postalcode', 'name': '53081', 'number': None, 'postal_code': '53081', 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Sheboygan County', 'locality': 'Sheboygan', 'administrative_area': 'Sheboygan', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '53081, Sheboygan, WI, USA'}	43.710329	-87.733076	Wisconsin	Sheboygan County	Sheboygan
Paoli, PA 19301	{'latitude': 40.041811, 'longitude': -75.491258, 'type': 'locality', 'name': 'Paoli', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Chester County', 'locality': 'Paoli', 'administrative_area': 'Willistown Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Paoli, PA, USA'}	40.041811	-75.491258	Pennsylvania	Chester County	Paoli
Costa Mesa, CA 92626	{'latitude': 33.665019, 'longitude': -117.920311, 'type': 'locality', 'name': 'Costa Mesa', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Orange County', 'locality': 'Costa Mesa', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Costa Mesa, CA, USA'}	33.665019	-117.920311	California	Orange County	Costa Mesa
Princeton, NJ 08540	{'latitude': 40.36301, 'longitude': -74.655321, 'type': 'postalcode', 'name': '08540', 'number': None, 'postal_code': '08540', 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Mercer County', 'locality': None, 'administrative_area': 'Princeton Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '08540, Princeton Township, NJ, USA'}	40.36301	-74.655321	New Jersey	Mercer County	
Brown Deer, WI 53223 (Bradley Estates area)	{'latitude': 43.163455, 'longitude': -87.990496, 'type': 'postalcode', 'name': '53223', 'number': None, 'postal_code': '53223', 'street': None, 'confidence': 1, 'region': 'Wisconsin', 'region_code': 'WI', 'county': 'Milwaukee County', 'locality': 'Brown Deer', 'administrative_area': 'Brown Deer', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '53223, Brown Deer, WI, USA'}	43.163455	-87.990496	Wisconsin	Milwaukee County	Brown Deer
Clayton County, GA	{'latitude': 33.553948, 'longitude': -84.364998, 'type': 'county', 'name': 'Clayton County', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Clayton County', 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Clayton County, GA, USA'}	33.553948	-84.364998	Georgia	Clayton County	
