job title,agency,department,location,salary,search_keyword,extracted_salary
CIVIL ENGINEER (STRUCTURAL),U.S. Army Corps of Engineers,Department of the Army,"Winchester, Virginia
                    Winchester, Virginia","Starting at $53,105 Per Year (GS 7-12)",Civil Engineer,53105
CIVIL ENGINEER (STRUCTURAL),U.S. Army Corps of Engineers,Department of the Army,"Winchester, Virginia
                    Winchester, Virginia","Starting at $94,199 Per Year (GS 12-13)",Civil Engineer,94199
CIVIL ENGINEER (STRUCTURAL),U.S. Army Corps of Engineers,Department of the Army,"Winchester, Virginia
                    Winchester, Virginia","Starting at $112,015 Per Year (GS 13)",Civil Engineer,112015
Supervisory Civil Engineer,Forest Service,Department of Agriculture,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Civil Engineer,82830
Civil Engineer (Geotechnical) - DIRECT HIRE,U.S. Army Corps of Engineers,Department of the Army,"Sacramento, California
                    Sacramento, California","Starting at $98,859 Per Year (GS 11-12)",Civil Engineer,98859
Civil Engineer (Geotechnical),U.S. Army Corps of Engineers,Department of the Army,"Huntington, West Virginia
                    Huntington, West Virginia","Starting at $69,107 Per Year (GS 11-12)",Civil Engineer,69107
Engineering Technician (Civil),Bureau of Land Management,Department of the Interior,"Location Negotiable After Selection,","Starting at $62,898 Per Year (GS 10-11)",Civil Engineer,62898
Civil Engineer (Structural) - DIRECT HIRE,Federal Highway Administration,Department of Transportation,"Albany, New York
                    Albany, New York","Starting at $84,928 Per Year (GS 12-13)",Civil Engineer,84928
Civil Engineer (Geotechnical),U.S. Army Corps of Engineers,Department of the Army,"Huntington, West Virginia
                    Huntington, West Virginia","Starting at $69,107 Per Year (GS 11-12)",Civil Engineer,69107
Civil Engineer (Hydraulics) - DIRECT HIRE,U.S. Army Corps of Engineers,Department of the Army,"Sacramento, California
                    Sacramento, California","Starting at $81,708 Per Year (GS 9-12)",Civil Engineer,81708
Civil Engineer (Structural) - Direct Hire,Federal Highway Administration,Department of Transportation,"Columbus, Ohio
                    Columbus, Ohio","Starting at $71,936 Per Year (GS 11-12)",Civil Engineer,71936
Civil/Mechanical/Electrical/Electronics Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $121,180 Per Year (GS 13)",Civil Engineer,121180
Civil Engineer (Geotechnical),U.S. Army Corps of Engineers,Department of the Army,"Concord, Massachusetts
                    Concord, Massachusetts","Starting at $52,527 Per Year (GS 7-12)",Civil Engineer,52527
"Project Engineer (Civil, Mechanical, Electrical)",U.S. Army Corps of Engineers,Department of the Army,"Sault Ste. Marie, Michigan
                    Sault Ste. Marie, Michigan","Starting at $97,169 Per Year (GS 12)",Civil Engineer,97169
Civil Engineer (Highway) - DIRECT HIRE,Federal Highway Administration,Department of Transportation,"Lakewood, Colorado
                    Lakewood, Colorado","Starting at $76,551 Per Year (GS 11-12)",Civil Engineer,76551
Civil Engineer (Assistant State Conservation Engineer),Natural Resources Conservation Service,Department of Agriculture,"Casper, Wyoming
                    Casper, Wyoming","Starting at $82,830 Per Year (GS 12)",Civil Engineer,82830
Civil Engineer - Direct Hire Authority,National Park Service,Department of the Interior,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13)",Civil Engineer,112015
Civil Engineer (Structural) - DIRECT HIRE,Federal Highway Administration,Department of Transportation,"Ashburn, Virginia
                    Ashburn, Virginia","Starting at $78,592 Per Year (GS 11-12)",Civil Engineer,78592
Civil Engineer (Highway - Pavements) - Direct Hire,Federal Highway Administration,Department of Transportation,"Ashburn, Virginia
                    Ashburn, Virginia","Starting at $78,592 Per Year (GS 11-12)",Civil Engineer,78592
Interdisciplinary General Engineer / Civil Engineer (Supervisory/Non-Supervisory),General Services Administration - Agency Wide,General Services Administration,Multiple Locations,"Starting at $69,107 Per Year (GS 11-13)",Civil Engineer,69107
Supervisory Civil/Environmental Engineer (Tribal Engineer Consultant),Indian Health Service,Department of Health and Human Services,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Civil Engineer,98496
Civil Engineer (Structural) - Direct Hire,Federal Highway Administration,Department of Transportation,"Cambridge, Massachusetts
                    Cambridge, Massachusetts","Starting at $77,738 Per Year (GS 11-12)",Civil Engineer,77738
Supervisory Civil/Environmental Engineer (Tribal Engineer Consultant),Indian Health Service,Department of Health and Human Services,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Civil Engineer,98496
CIVIL/AGRICULTURAL ENGINEER,Natural Resources Conservation Service,Department of Agriculture,"Columbia, Missouri
                    Columbia, Missouri","Starting at $69,107 Per Year (GS 11-12)",Civil Engineer,69107
Civil Engineer (Hydraulics) - DIRECT HIRE,U.S. Army Corps of Engineers,Department of the Army,"Sacramento, California
                    Sacramento, California","Starting at $53,937 Per Year (GS 5-12)",Civil Engineer,53937
Supervisory Research Civil Engineer - (Direct Hire),Federal Highway Administration,Department of Transportation,"McLean, Virginia
                    McLean, Virginia","Starting at $155,700 Per Year (GS 15)",Civil Engineer,155700
Civil Engineer (Hydraulics) - DIRECT HIRE,Federal Highway Administration,Department of Transportation,"Lakewood, Colorado
                    Lakewood, Colorado","Starting at $76,551 Per Year (GS 11-12)",Civil Engineer,76551
ENGINEERING TECHNICIAN (CIVIL),Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Base, Norfolk, Virginia
                    Naval Base, Norfolk, Virginia","Starting at $63,676 Per Year (GS 10-11)",Civil Engineer,63676
Engineering Technician (Civil),U.S. Army Corps of Engineers,Department of the Army,"Jacksonville, Florida
                    Jacksonville, Florida","Starting at $69,109 Per Year (GS 11)",Civil Engineer,69109
ENGINEERING TECHNICIAN (CIVIL),Naval Facilities Engineering Systems Command,Department of the Navy,"Jacksonville, Florida
                    Jacksonville, Florida","Starting at $69,107 Per Year (GS 11)",Civil Engineer,69107
Engineering Technician (Civil),Forest Service,Department of Agriculture,Multiple Locations,"Starting at $62,898 Per Year (GS 10-11)",Civil Engineer,62898
Engineering Technician (Civil),U.S. Army Corps of Engineers,Department of the Army,"Savannah, Georgia
                    Savannah, Georgia","Starting at $57,118 Per Year (GS 9)",Civil Engineer,57118
Engineering Technician (Civil),Forest Service,Department of Agriculture,Multiple Locations,"Starting at $51,713 Per Year (GS 8-9)",Civil Engineer,51713
Engineering Technician (Civil),U.S. Army Corps of Engineers,Department of the Army,"Jacksonville, Florida
                    Jacksonville, Florida","Starting at $69,107 Per Year (GS 11)",Civil Engineer,69107
Engineering Technician (Civil),U.S. Army Corps of Engineers,Department of the Army,"Appleton, Wisconsin
                    Appleton, Wisconsin","Starting at $37,696 Per Year (GS 5-9)",Civil Engineer,37696
Engineering Technician (Civil),U.S. Army Corps of Engineers,Department of the Army,"Omaha, Nebraska
                    Omaha, Nebraska","Starting at $63,449 Per Year (GS 10-11)",Civil Engineer,63449
Engineering Technician (Civil),Natural Resources Conservation Service,Department of Agriculture,"Palmer, Alaska
                    Palmer, Alaska","Starting at $64,384 Per Year (GS 9-11)",Civil Engineer,64384
Engineering Technician (Civil),Natural Resources Conservation Service,Department of Agriculture,"Palmer, Alaska
                    Palmer, Alaska","Starting at $64,384 Per Year (GS 9-11)",Civil Engineer,64384
ENGINEERING TECHNICIAN (CIVIL),Naval Facilities Engineering Systems Command,Department of the Navy,"Marine Corps Air Station Miramar, California
                    Marine Corps Air Station Miramar, California","Starting at $64,722 Per Year (GS 9)",Civil Engineer,64722
Engineering Technician (Civil),U.S. Army Corps of Engineers,Department of the Army,"Pittsburgh, Pennsylvania
                    Pittsburgh, Pennsylvania","Starting at $48,247 Per Year (GS 7-9)",Civil Engineer,48247
Engineering Technician (Civil),U.S. Army Corps of Engineers,Department of the Army,"Fountain City, Wisconsin
                    Fountain City, Wisconsin","Starting at $57,118 Per Year (GS 9-11)",Civil Engineer,57118
Engineering Technician (Civil),U.S. Army Corps of Engineers,Department of the Army,"Vicksburg, Mississippi
                    Vicksburg, Mississippi","Starting at $69,107 Per Year (DE 4)",Civil Engineer,69107
CIVIL ENGINEERING TECHNICIAN,Natural Resources Conservation Service,Department of Agriculture,"Jefferson, Wisconsin
                    Jefferson, Wisconsin","Starting at $54,039 Per Year (GS 8-10)",Civil Engineer,54039
Engineering Technician (Civil),Forest Service,Department of Agriculture,"Bradford, Pennsylvania
                    Bradford, Pennsylvania","Starting at $57,118 Per Year (GS 9)",Civil Engineer,57118
ENGINEERING TECHNICIAN (CIVIL),U.S. Army Corps of Engineers,Department of the Army,"Louisville, Kentucky
                    Louisville, Kentucky","Starting at $69,107 Per Year (GS 11)",Civil Engineer,69107
ENGINEERING TECHNICIAN (CIVIL),U.S. Army Corps of Engineers,Department of the Army,"Louisville, Kentucky
                    Louisville, Kentucky","Starting at $69,107 Per Year (GS 11)",Civil Engineer,69107
ENGINEERING TECHNICIAN (CIVIL),Air National Guard Units,Department of the Air Force,"Buckley AFB, Colorado
                    Buckley AFB, Colorado","Starting at $63,271 Per Year (GS 9)",Civil Engineer,63271
ENGINEERING TECHNICIAN (CIVIL),U.S. Army Corps of Engineers,Department of the Army,"Galveston, Texas
                    Galveston, Texas","Starting at $65,928 Per Year (GS 9)",Civil Engineer,65928
Engineering Technician (Civil),U.S. Army Corps of Engineers,Department of the Army,"New Orleans, Louisiana
                    New Orleans, Louisiana","Starting at $62,898 Per Year (GS 10-11)",Civil Engineer,62898
Engineering Technician (Civil),U.S. Army Corps of Engineers,Department of the Army,"New Orleans, Louisiana
                    New Orleans, Louisiana","Starting at $62,898 Per Year (GS 10-11)",Civil Engineer,62898
ENGINEERING TECHNICIAN (CIVIL),Air National Guard Units,Department of the Air Force,"Westhampton Beach, New York
                    Westhampton Beach, New York","Starting at $66,757 Per Year (GS 9)",Civil Engineer,66757
Civil Engineer (Highway - Project Manager) - DIRECT HIRE,Federal Highway Administration,Department of Transportation,"Lakewood, Colorado
                    Lakewood, Colorado","Starting at $109,107 Per Year (GS 13)",Civil Engineer,109107
Interdisciplinary Architect/Civil Engineer (Structural)/Mechanical Engineer/Electrical Engineer,Bonneville Power Administration,Department of Energy,"Portland, Oregon
                    Portland, Oregon","Starting at $105,666 Per Year (GS 13)",Civil Engineer,105666
Interdisciplinary Architect/Civil Engineer (Structural)/Mechanical Engineer/Electrical Engineer,Bonneville Power Administration,Department of Energy,"Portland, Oregon
                    Portland, Oregon","Starting at $105,666 Per Year (GS 13)",Civil Engineer,105666
Civil Engineer (Highway - Construction) (Open to both U.S. Citizens and Federal Employees),Federal Highway Administration,Department of Transportation,Multiple Locations,"Starting at $42,068 Per Year (GS 05-09)",Civil Engineer,42068
Civil Engineer (Highway) (Part-Time) - DIRECT HIRE,Federal Highway Administration,Department of Transportation,"Lakewood, Colorado
                    Lakewood, Colorado",Starting at $36.68 Per Hour (GS 11-12),Civil Engineer,69120
Civil Engineer (Hydraulics)/Coastal Design,U.S. Army Corps of Engineers,Department of the Army,"Portland, Oregon
                    Portland, Oregon","Starting at $66,802 Per Year (GS 7-11)",Civil Engineer,66802
Public Notice for Direct Hire - Engineering (Civil/General),International Boundary and Water Commission: United States and Mexico,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $82,830 Per Year (GG 12-15)",Civil Engineer,82830
Supervisory Civil/Environmental Engineer (District Engineer),Indian Health Service,Department of Health and Human Services,"Minot, North Dakota
                    Minot, North Dakota","Starting at $98,496 Per Year (GS 13)",Civil Engineer,98496
Supervisory Civil/Environmental Engineer (District Engineer),Indian Health Service,Department of Health and Human Services,"Bemidji, Minnesota
                    Bemidji, Minnesota","Starting at $98,496 Per Year (GS 13)",Civil Engineer,98496
Supervisory Civil/Environmental Engineer (District Engineer),Indian Health Service,Department of Health and Human Services,"Spokane, Washington
                    Spokane, Washington","Starting at $98,496 Per Year (GS 13)",Civil Engineer,98496
Supervisory Civil/Environmental Engineer (District Engineer),Indian Health Service,Department of Health and Human Services,"Tempe, Arizona
                    Tempe, Arizona","Starting at $102,673 Per Year (GS 13)",Civil Engineer,102673
Supervisory Civil/Environmental Engineer (District Engineer),Indian Health Service,Department of Health and Human Services,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Civil Engineer,98496
Supervisory Civil/Environmental Engineer (District Engineer),Indian Health Service,Department of Health and Human Services,"Minot, North Dakota
                    Minot, North Dakota","Starting at $98,496 Per Year (GS 13)",Civil Engineer,98496
Supervisory Civil/Environmental Engineer (District Engineer),Indian Health Service,Department of Health and Human Services,"Bemidji, Minnesota
                    Bemidji, Minnesota","Starting at $98,496 Per Year (GS 13)",Civil Engineer,98496
Supervisory Civil/Environmental Engineer (District Engineer),Indian Health Service,Department of Health and Human Services,"Spokane, Washington
                    Spokane, Washington","Starting at $98,496 Per Year (GS 13)",Civil Engineer,98496
Supervisory Civil/Environmental Engineer (District Engineer),Indian Health Service,Department of Health and Human Services,"Tempe, Arizona
                    Tempe, Arizona","Starting at $102,673 Per Year (GS 13)",Civil Engineer,102673
Supervisory Civil/Environmental Engineer (District Engineer),Indian Health Service,Department of Health and Human Services,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Civil Engineer,98496
Interdisciplinary Geologist / Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Chicago, Illinois
                    Chicago, Illinois","Starting at $52,022 Per Year (GS 7-11)",Civil Engineer,52022
SUPERVISORY COMMUNITY PLANNER/GENERAL ENGINEER/ARCHITECT/CIVIL ENGINEER/INDUSTRIAL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Kings Bay, Georgia
                    Kings Bay, Georgia","Starting at $98,496 Per Year (GS 13)",Civil Engineer,98496
Student Trainee (Civil Engineering),Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $36,145 Per Year (GS 4)",Civil Engineer,36145
Student Trainee (Civil Engineering),Bureau of Land Management,Department of the Interior,Multiple Locations,Starting at $16.14 Per Hour (GS 4),Civil Engineer,30720
Civil Engineer (Operations Program Specialist) - DIRECT HIRE,Federal Highway Administration,Department of Transportation,"Nashville, Tennessee
                    Nashville, Tennessee","Starting at $82,830 Per Year (GS 12)",Civil Engineer,82830
Physical Scientist/General Engineer/Civil Engineer,Environmental Protection Agency,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $109,107 Per Year (GS 13)",Civil Engineer,109107
PATHWAYS RECENT GRADUATE - Civil Engineer (Highway),Federal Highway Administration,Department of Transportation,"Lakewood, Colorado
                    Lakewood, Colorado","Starting at $41,757 Per Year (GS 05-09)",Civil Engineer,41757
Civil Engineer (Hydraulics/Hydrologic),Natural Resources Conservation Service,Department of Agriculture,Multiple Locations,"Starting at $93,367 Per Year (GS 12)",Civil Engineer,93367
PATHWAYS RECENT GRADUATE - Civil Engineer (Structural),Federal Highway Administration,Department of Transportation,"Ashburn, Virginia
                    Ashburn, Virginia","Starting at $53,105 Per Year (GS 07-09)",Civil Engineer,53105
TRAINING INSTRUCTOR (CIVIL ENGINEERING),Air Education and Training Command,Department of the Air Force,"Sheppard AFB, Texas
                    Sheppard AFB, Texas","Starting at $57,118 Per Year (GS 9)",Civil Engineer,57118
Supervisory Architect/Civil Engineer/Environmental Engineer/Mechanical Engineer/Electrical Engineer,U.S. Army Corps of Engineers,Department of the Army,"Kuwait, Kuwait
                    Kuwait, Kuwait","Starting at $99,908 Per Year (GS 14)",Civil Engineer,99908
SUPERVISORY COMMUNITY PLANNER/GENERAL ENGINEER/ARCHITECT/CIVIL ENGINEER/INDUSTRIAL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Kings Bay Naval Base, Georgia
                    Kings Bay Naval Base, Georgia","Starting at $98,496 Per Year (GS 13)",Civil Engineer,98496
Engineering Technician (Civil) - DIRECT HIRE,U.S. Army Corps of Engineers,Department of the Army,"Sacramento, California
                    Sacramento, California","Starting at $76,106 Per Year (GS 11)",Civil Engineer,76106
PATHWAYS STUDENT INTERN (Civil Engineering),Federal Highway Administration,Department of Transportation,"Vancouver, Washington
                    Vancouver, Washington","Starting at $33,241 Per Year (GS 02-07)",Civil Engineer,33241
PATHWAYS STUDENT INTERN (Civil Engineering),Federal Highway Administration,Department of Transportation,"Lakewood, Colorado
                    Lakewood, Colorado","Starting at $33,241 Per Year (GS 02-05)",Civil Engineer,33241
PATHWAYS STUDENT INTERN (Civil Engineering),Federal Highway Administration,Department of Transportation,Multiple Locations,"Starting at $33,241 Per Year (GS 02-05)",Civil Engineer,33241
Pathways Student Intern (Civil Engineering),Federal Highway Administration,Department of Transportation,Multiple Locations,"Starting at $33,241 Per Year (GS 02-05)",Civil Engineer,33241
Public Notice for Civil Engineer (Direct Hire),Federal Aviation Administration,Department of Transportation,"May be filled in various FAA duty locations,","Starting at $47,813 Per Year (FV G-K)",Civil Engineer,47813
Supervisory Civil Engineer (Highway)(Construction Operations Engineer) - DIRECT HIRE,Federal Highway Administration,Department of Transportation,"Lakewood, Colorado
                    Lakewood, Colorado","Starting at $109,107 Per Year (GS 13)",Civil Engineer,109107
Engineering Technician (Civil) Open and Continuous,U.S. Army Corps of Engineers,Department of the Army,"Fort Greely, Alaska
                    Fort Greely, Alaska","Starting at $93,367 Per Year (GS 12)",Civil Engineer,93367
"Civil Engineer (Structural/Bridge Programs Engineer) - P/T, Temporary NTE 1 Year (Open to CTAP/ICTAP applicants only)",Federal Highway Administration,Department of Transportation,Anywhere in the U.S. (remote job),"Starting at $98,496 Per Year (GS 13)",Civil Engineer,98496
Civil Engineer (Structural/Bridge Safety Engineer) - Temporary NTE 1 Year (Open to CTAP/ICTAP applicants only),Federal Highway Administration,Department of Transportation,Anywhere in the U.S. (remote job),"Starting at $116,393 Per Year (GS 14)",Civil Engineer,116393
Interdisciplinary (General Engineer/Architect/Civil/Mechanical/Environmental/Electrical Engineer),U.S. Army Corps of Engineers,Department of the Army,"Baltimore, Maryland
                    Baltimore, Maryland","Starting at $112,015 Per Year (GS 13)",Civil Engineer,112015
Interdisciplinary Engineer (Civil/Mechanical/Electrical),U.S. Army Corps of Engineers,Department of the Army,"Boydton, Virginia
                    Boydton, Virginia","Starting at $97,169 Per Year (GS 12)",Civil Engineer,97169
INTERDISCIPLINARY COMMUNITY PLANNER/GENERAL ENGINEER/ARCHITECT/CIVIL ENGINEER/INDUSTRIAL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Base, Norfolk, Virginia
                    Naval Base, Norfolk, Virginia","Starting at $69,961 Per Year (GS 11-12)",Civil Engineer,69961
INTERDISCIPLINARY (COMMUNITY PLANNER/GENERAL ENGINEER/ARCHITECT/CIVIL ENGINEER/INDUSTRIAL ENGINEER),Naval Facilities Engineering Systems Command,Department of the Navy,Multiple Locations,"Starting at $84,546 Per Year (GS 13)",Civil Engineer,84546
Supervisory Interdisciplinary Civil/Agricultural Engineer (State Conservation Engineer),Natural Resources Conservation Service,Department of Agriculture,"Portland, Oregon
                    Portland, Oregon","Starting at $105,666 Per Year (GS 13)",Civil Engineer,105666
"Interdisciplinary General/Civil/Electrical Engineer, Landscape Architect, Architect",National Park Service,Department of the Interior,"Charlestown, Massachusetts
                    Charlestown, Massachusetts","Starting at $93,175 Per Year (GS 12)",Civil Engineer,93175
Engineering Technician (Civil) (Open to both U.S. Citizens and Federal Employees),Federal Highway Administration,Department of Transportation,Multiple Locations,"Starting at $46,696 Per Year (GS 07-11)",Civil Engineer,46696
Engineering Technician (Civil) (Open to both U.S. Citizens and Federal Employees),Federal Highway Administration,Department of Transportation,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Civil Engineer,82830
CAREER FIELD ADMINISTRATOR,Air Force Civilian Career Training,Department of the Air Force,"Randolph AFB, Texas
                    Randolph AFB, Texas","Starting at $99,764 Per Year (GS 13)",Civil Engineer,99764
Production Control (Construction) (TEMP) (Title 32),Air National Guard Units,Department of the Air Force,"Salt Lake City, Utah
                    Salt Lake City, Utah","Starting at $57,118 Per Year (GS 9)",Civil Engineer,57118
Industry Data Analyst,Geological Survey,Department of the Interior,"Reston, Virginia
                    Reston, Virginia","Starting at $64,957 Per Year (GS 9)",Data Analyst,64957
Data and Reporting Analyst,Department of Homeland Security - Agency Wide,Department of Homeland Security,Anywhere in the U.S. (remote job),"Starting at $112,015 Per Year (GS 13-14)",Data Analyst,112015
Program Analyst (Data Management),"Interior, Bureau of Indian Affairs",Department of the Interior,Anywhere in the U.S. (remote job),"Starting at $82,830 Per Year (GS 12)",Data Analyst,82830
COMPUTER SCIENTIST (DATA SCIENTIST/ DATA ANALYST),Defense Counterintelligence and Security Agency,Department of Defense,Multiple Locations,"Starting at $123,437 Per Year (GG 13)",Data Analyst,123437
Program Analyst (Data),Office of the Chief of Staff of the Army,Department of the Army,"Pentagon, Arlington, Virginia
                    Pentagon, Arlington, Virginia","Starting at $94,199 Per Year (GS 12)",Data Analyst,94199
Data Scientist (Data Visualization Analyst) (12-month Roster),Internal Revenue Service,Department of the Treasury,"IRS Nationwide Locations,","Starting at $116,393 Per Year (GS 14)",Data Analyst,116393
Food and Beverage Data Analyst,Air Force Services Agency,Department of the Air Force,"Kelly AFB, Texas
                    Kelly AFB, Texas",Starting at $26.50 Per Hour (NF 4),Data Analyst,49920
Program Analyst (Data Management),"Interior, Bureau of Indian Affairs",Department of the Interior,"Aberdeen, South Dakota
                    Aberdeen, South Dakota","Starting at $57,118 Per Year (GS 12)",Data Analyst,57118
Supervisory Program Analyst (Data),Department of Defense Education Activity,Department of Defense,"Alexandria, Virginia
                    Alexandria, Virginia","Starting at $155,700 Per Year (GS 15)",Data Analyst,155700
Supervisory Program Analyst (Data),Department of Defense Education Activity,Department of Defense,"Alexandria, Virginia
                    Alexandria, Virginia","Starting at $155,700 Per Year (GS 15)",Data Analyst,155700
Supervisory Program Analyst (Data Scientist),Federal Acquisition Service,General Services Administration,Anywhere in the U.S. (remote job),"Starting at $116,393 Per Year (GS 14)",Data Analyst,116393
SUPERVISORY OPERATIONS RESEARCH ANALYST (DATA SCIENTIST),U.S. Army Cyber Command,Department of the Army,"Fort Huachuca, Arizona
                    Fort Huachuca, Arizona","Starting at $139,141 Per Year (GG 15)",Data Analyst,139141
PROCUREMENT ANALYST (Contract Data Specialist),Air Force Materiel Command,Department of the Air Force,"Wright-Patterson AFB, Ohio
                    Wright-Patterson AFB, Ohio","Starting at $99,908 Per Year (NH 4)",Data Analyst,99908
INTERDISCIPLINARY DATA SCIENTIST/OPERATIONS RESEARCH ANALYST (CHIEF PRODUCT OWNER),Naval Air Systems Command,Department of the Navy,"Patuxent River, Maryland
                    Patuxent River, Maryland","Starting at $132,368 Per Year (DP 5)",Data Analyst,132368
Governmental Information Specialist-Technical Data Analyst,Internal Revenue Service,Department of the Treasury,"IRS Nationwide Locations,","Starting at $98,496 Per Year (GS 13)",Data Analyst,98496
"Supervisory Operations Research Analyst (Data & Analytics Manager) - Temp NTE 1 Yr, MBE, MBMP",Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $116,393 Per Year (IR 4)",Data Analyst,116393
Supervisory Management & Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Gainesville, Florida
                    Gainesville, Florida","Starting at $98,496 Per Year (GS 13)",Data Analyst,98496
Management Analyst,Administrative Office of the U.S. Courts,Judicial Branch,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $78,592 Per Year (AD 00)",Data Analyst,78592
Management and Program Analyst - Direct Hire,Federal Highway Administration,Department of Transportation,Multiple Locations,"Starting at $69,107 Per Year (GS 11-14)",Data Analyst,69107
Investigative Analyst,U.S. Marshals Service,Department of Justice,"Chicago, Illinois
                    Chicago, Illinois","Starting at $52,022 Per Year (GS 7)",Data Analyst,52022
Program Assistant (Analysis),Veterans Health Administration,Department of Veterans Affairs,"San Francisco, California
                    San Francisco, California","Starting at $57,778 Per Year (GS 7)",Data Analyst,57778
Budget Analyst,Department of Energy - Agency Wide,Department of Energy,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Data Analyst,98496
Management Analyst,Peace Corps,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $82,837 Per Year (FP 3-4)",Data Analyst,82837
Medicaid Long-Term Services and Supports Senior Analyst,Medicaid and CHIP Payment and Access Commission,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $100,000 Per Year (GS 00)",Data Analyst,100000
Program Analyst,"Justice, Office of the Inspector General",Department of Justice,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $64,957 Per Year (GS 9-11)",Data Analyst,64957
Program Analyst,Department of Defense Education Activity,Department of Defense,"Alexandria, Virginia
                    Alexandria, Virginia","Starting at $78,592 Per Year (GS 11-13)",Data Analyst,78592
IT SPECIALIST (CUSTSPT),Air National Guard Units,Department of the Air Force,"Eastover, South Carolina
                    Eastover, South Carolina","Starting at $69,107 Per Year (GS 11)",Data Analyst,69107
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"North Charleston, South Carolina
                    North Charleston, South Carolina","Starting at $98,496 Per Year (GS 13)",Data Analyst,98496
Project Manager (Interdisciplinary),U.S. Army Corps of Engineers,Department of the Army,Multiple Locations,"Starting at $98,496 Per Year (GS 12-13)",Data Analyst,98496
Policy Analyst,Office of Management and Budget,Executive Office of the President,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14-15)",Data Analyst,132368
Program Analyst (Resources Management Officer),"Treasury, Departmental Offices",Department of the Treasury,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13-14)",Data Analyst,112015
Program Analyst,Assistant Secretary for Housing-Federal Housing Commissioner,Department of Housing and Urban Development,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Data Analyst,98496
Program Analyst,Assistant Secretary for Housing-Federal Housing Commissioner,Department of Housing and Urban Development,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Data Analyst,98496
Management and Program Analyst,National Oceanic and Atmospheric Administration,Department of Commerce,"Silver Spring, Maryland
                    Silver Spring, Maryland","Starting at $112,015 Per Year (GS 13)",Data Analyst,112015
Management and Program Analyst,National Oceanic and Atmospheric Administration,Department of Commerce,"Silver Spring, Maryland
                    Silver Spring, Maryland","Starting at $112,015 Per Year (GS 13)",Data Analyst,112015
Financial Management Analyst,Army Installation Management Command,Department of the Army,"Romania, Romania
                    Romania, Romania","Starting at $71,099 Per Year (GS 12)",Data Analyst,71099
Public Health Analyst,Centers for Disease Control and Prevention,Department of Health and Human Services,Multiple Locations,"Starting at $144,571 Per Year (GS 15)",Data Analyst,144571
Medical Records Administrator (Assistant Chief),Veterans Health Administration,Department of Veterans Affairs,"Aurora, Colorado
                    Aurora, Colorado","Starting at $91,753 Per Year (GS 12)",Data Analyst,91753
Medical Records Administrator (Assistant Chief),Veterans Health Administration,Department of Veterans Affairs,"Aurora, Colorado
                    Aurora, Colorado","Starting at $91,753 Per Year (GS 12)",Data Analyst,91753
Budget Analyst,National Cemetery Administration,Department of Veterans Affairs,"Santa Nella, California
                    Santa Nella, California","Starting at $57,118 Per Year (GS 9-11)",Data Analyst,57118
Management & Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Saint Cloud, Minnesota
                    Saint Cloud, Minnesota","Starting at $48,317 Per Year (GS 7-9)",Data Analyst,48317
Management Analyst (Fleet and Family Readiness Support),"Commander, Navy Installations",Department of the Navy,"Washington Navy Yard, District of Columbia
                    Washington Navy Yard, District of Columbia","Starting at $105,000 Per Year (NF 5)",Data Analyst,105000
IT SPECIALIST (SYSTEMS ADMINISTRATION),Army National Guard Units,Department of the Army,"Indianapolis, Indiana
                    Indianapolis, Indiana","Starting at $63,736 Per Year (GS 9-11)",Data Analyst,63736
Management & Program Analyst,Vet Customer Experience (VCE),Department of Veterans Affairs,"District of Columbia, District of Columbia
                    District of Columbia, District of Columbia","Starting at $112,015 Per Year (GS 13)",Data Analyst,112015
