location	values
Salt Lake City, UT 84112	{'latitude': 40.765074, 'longitude': -111.841488, 'type': 'postalcode', 'name': '84112', 'number': None, 'postal_code': '84112', 'street': None, 'confidence': 1, 'region': 'Utah', 'region_code': 'UT', 'county': 'Salt Lake County', 'locality': 'Salt Lake City', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '84112, Salt Lake City, UT, USA'}
Cuyahoga Falls, OH 44223	{'latitude': 41.169665, 'longitude': -81.531058, 'type': 'postalcode', 'name': '44223', 'number': None, 'postal_code': '44223', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Summit County', 'locality': 'Cuyahoga Falls', 'administrative_area': 'Akron', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '44223, Cuyahoga Falls, OH, USA'}
Blue Ash, OH 45242	{'latitude': 39.247111, 'longitude': -84.383151, 'type': 'locality', 'name': 'Blue Ash', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Hamilton County', 'locality': 'Blue Ash', 'administrative_area': 'Blue Ash', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Blue Ash, OH, USA'}
Colorado Springs, CO 80918 (Powers area)	{'latitude': 38.910393, 'longitude': -104.780362, 'type': 'postalcode', 'name': '80918', 'number': None, 'postal_code': '80918', 'street': None, 'confidence': 1, 'region': 'Colorado', 'region_code': 'CO', 'county': 'El Paso County', 'locality': 'Colorado Springs', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '80918, Colorado Springs, CO, USA'}
Augusta, ME 04330	{'latitude': 44.3341, 'longitude': -69.73188, 'type': 'locality', 'name': 'City of Augusta', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maine', 'region_code': 'ME', 'county': 'Kennebec County', 'locality': 'City of Augusta', 'administrative_area': 'Augusta', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'City of Augusta, ME, USA'}
Wilmington, DE	{'latitude': 39.72266, 'longitude': -75.512825, 'type': 'locality', 'name': 'Wilmington', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Delaware', 'region_code': 'DE', 'county': 'New Castle County', 'locality': 'Wilmington', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Wilmington, DE, USA'}
Melbourne, FL	{'latitude': 28.110702, 'longitude': -80.637624, 'type': 'locality', 'name': 'Melbourne', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Brevard County', 'locality': 'Melbourne', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Melbourne, FL, USA'}
Montgomery, AL	{'latitude': 32.359185, 'longitude': -86.239651, 'type': 'locality', 'name': 'Montgomery', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Alabama', 'region_code': 'AL', 'county': 'Montgomery County', 'locality': 'Montgomery', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Montgomery, AL, USA'}
Lake Mary, FL	{'latitude': 28.769025, 'longitude': -81.335745, 'type': 'locality', 'name': 'Lake Mary', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Seminole County', 'locality': 'Lake Mary', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Lake Mary, FL, USA'}
Rosemont, IL 60656 (Norwood Park area)	{'latitude': 33.754635, 'longitude': -117.82787, 'type': 'address', 'name': '17461 Norwood Park Pl', 'number': '17461', 'postal_code': None, 'street': 'Norwood Park Pl', 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Orange County', 'locality': 'Tustin', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '17461 Norwood Park Pl, Tustin, CA, USA'}
Bronx, NY 10474	{'latitude': 40.853551, 'longitude': -73.874979, 'type': 'borough', 'name': 'Bronx', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New York', 'region_code': 'NY', 'county': 'Bronx County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Bronx, New York, NY, USA'}
Cherry Hill, NJ 08002	{'latitude': 39.931978, 'longitude': -75.027557, 'type': 'postalcode', 'name': '08002', 'number': None, 'postal_code': '08002', 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Camden County', 'locality': 'Golden Triangle', 'administrative_area': 'Cherry Hill Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '08002, Golden Triangle, NJ, USA'}
Rochester, MN 55901	{'latitude': 44.023554, 'longitude': -92.471663, 'type': 'locality', 'name': 'Rochester', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Olmsted County', 'locality': 'Rochester', 'administrative_area': 'Rochester', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Rochester, MN, USA'}
Minneapolis, MN 55401 (North Loop area)	{'latitude': 44.96313, 'longitude': -93.266563, 'type': 'locality', 'name': 'Minneapolis', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Minnesota', 'region_code': 'MN', 'county': 'Hennepin County', 'locality': 'Minneapolis', 'administrative_area': 'Minneapolis', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Minneapolis, MN, USA', 'bbox_module': [-93.329108, 44.890589, -93.194329, 45.051246], 'country_module': {'latitude': 39.44325637817383, 'longitude': -98.95733642578125, 'common_name': 'United States', 'official_name': 'United States of America', 'capital': 'Washington D.C.', 'flag': '🇺🇸', 'area': 9372610, 'landlocked': False, 'independent': True, 'global': {'alpha2': 'US', 'alpha3': 'USA', 'numeric_code': '840', 'region': 'Americas', 'subregion': 'Northern America', 'region_code': '019', 'subregion_code': '021', 'world_region': 'AMER', 'continent_name': 'North America', 'continent_code': 'NA'}, 'dial': {'calling_code': '1', 'national_prefix': '1', 'international_prefix': '011'}, 'currencies': [{'symbol': '$', 'code': 'USD', 'name': 'US Dollar', 'numeric': 840, 'minor_unit': 2}], 'languages': {'eng': 'English'}}, 'sun_module': {'rise': {'time': 1701610383, 'astronomical': 1701604073, 'civil': 1701608399, 'nautical': 1701606196}, 'set': {'time': 1701642759, 'astronomical': 1701649069, 'civil': 1701644742, 'nautical': 1701646945}, 'transit': 1701626571}, 'timezone_module': {'name': 'America/Menominee', 'offset_sec': -21600, 'offset_string': '-06:00'}}
Hoboken, NJ	{'latitude': 40.745164, 'longitude': -74.028227, 'type': 'locality', 'name': 'Hoboken', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Hudson County', 'locality': 'Hoboken', 'administrative_area': 'Hoboken', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Hoboken, NJ, USA'}
Newark, NJ 07102 (Central Business District area)	{'latitude': 40.735659, 'longitude': -74.173605, 'type': 'postalcode', 'name': '07102', 'number': None, 'postal_code': '07102', 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Essex County', 'locality': 'Newark', 'administrative_area': 'Newark', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '07102, Newark, NJ, USA'}
Newark, DE	{'latitude': 39.674921, 'longitude': -75.752432, 'type': 'locality', 'name': 'Newark', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Delaware', 'region_code': 'DE', 'county': 'New Castle County', 'locality': 'Newark', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Newark, DE, USA'}
Decatur, GA 30030 (Downtown area)	{'latitude': -23.693943, 'longitude': 30.948995, 'type': 'address', 'name': '30030 0', 'number': '30030', 'postal_code': None, 'street': '0', 'confidence': 1, 'region': 'Limpopo', 'region_code': 'NP', 'county': 'Mopani', 'locality': 'Ga-Selwana', 'administrative_area': None, 'neighbourhood': None, 'country': 'South Africa', 'country_code': 'ZAF', 'continent': 'Africa', 'label': '30030 0, Ga-Selwana, NP, South Africa'}
Key Largo, FL 33037	{'latitude': 25.127374, 'longitude': -80.41022, 'type': 'locality', 'name': 'Key Largo', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Monroe', 'locality': 'Key Largo', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Key Largo, FL, USA'}
Doral, FL 33178	{'latitude': 25.80406, 'longitude': -80.347207, 'type': 'locality', 'name': 'Doral', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Miami-Dade County', 'locality': 'Doral', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Doral, FL, USA'}
Denver, CO 80237 (Southeastern Denver area)	{'latitude': 39.639871, 'longitude': -104.901711, 'type': 'postalcode', 'name': '80237', 'number': None, 'postal_code': '80237', 'street': None, 'confidence': 1, 'region': 'Colorado', 'region_code': 'CO', 'county': 'Denver County', 'locality': 'Denver', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '80237, Denver, CO, USA'}
Grayslake, IL 60030	{'latitude': 42.345857, 'longitude': -88.043283, 'type': 'locality', 'name': 'Grayslake', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Lake County', 'locality': 'Grayslake', 'administrative_area': 'Avon Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Grayslake, IL, USA'}
Canton, MA 02021	{'latitude': 42.15843, 'longitude': -71.14477, 'type': 'locality', 'name': 'Canton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Norfolk County', 'locality': 'Canton', 'administrative_area': 'Canton', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Canton, MA, USA'}
South Carolina	{'latitude': 33.702857, 'longitude': -80.627523, 'type': 'region', 'name': 'South Carolina', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'South Carolina', 'region_code': 'SC', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'South Carolina, USA'}
Albuquerque, NM	{'latitude': 35.128683, 'longitude': -106.579128, 'type': 'locality', 'name': 'Albuquerque', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New Mexico', 'region_code': 'NM', 'county': 'Bernalillo County', 'locality': 'Albuquerque', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Albuquerque, NM, USA'}
Los Angeles, CA 90058	{'latitude': 34.05513, 'longitude': -118.25703, 'type': 'locality', 'name': 'Los Angeles', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Los Angeles County', 'locality': 'Los Angeles', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Los Angeles, CA, USA'}
Jersey City, NJ 07310 (Downtown area)	{'latitude': 39.146194, 'longitude': -94.747998, 'type': 'address', 'name': '7310 Parkview Ave', 'number': '7310', 'postal_code': '66109', 'street': 'Parkview Ave', 'confidence': 1, 'region': 'Kansas', 'region_code': 'KS', 'county': 'Wyandotte County', 'locality': 'Kansas City', 'administrative_area': 'Kansas City', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '7310 Parkview Ave, Kansas City, KS, USA'}
North Charleston, SC	{'latitude': 32.88608, 'longitude': -80.032668, 'type': 'locality', 'name': 'Dorchester', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'South Carolina', 'region_code': 'SC', 'county': 'Charleston County', 'locality': 'Dorchester', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Dorchester, SC, USA'}
Tennessee	{'latitude': 35.820245, 'longitude': -86.343764, 'type': 'region', 'name': 'Tennessee', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Tennessee', 'region_code': 'TN', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tennessee, USA'}
Woburn, MA	{'latitude': 42.491517, 'longitude': -71.145675, 'type': 'locality', 'name': 'Woburn', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Middlesex County', 'locality': 'Woburn', 'administrative_area': 'Woburn', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Woburn, MA, USA'}
Mountain View, CA 94043	{'latitude': 37.413921, 'longitude': -122.085078, 'type': 'locality', 'name': 'Mountain View', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Santa Clara County', 'locality': 'Mountain View', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Mountain View, CA, USA'}
Round Rock, TX	{'latitude': 30.511948, 'longitude': -97.677545, 'type': 'locality', 'name': 'Round Rock', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Williamson County', 'locality': 'Round Rock', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Round Rock, TX, USA'}
Victor, NY	{'latitude': 42.999564, 'longitude': -77.451593, 'type': 'locality', 'name': 'Victor', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Ontario County', 'locality': 'Victor', 'administrative_area': 'Victor', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Victor, NY, USA'}
Baltimore, MD 21227	{'latitude': 39.319732, 'longitude': -76.649533, 'type': 'locality', 'name': 'Baltimore', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maryland', 'region_code': 'MD', 'county': 'City of Baltimore', 'locality': 'Baltimore', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Baltimore, MD, USA'}
Saint Petersburg, FL 33716	{'latitude': 27.87506, 'longitude': -82.648609, 'type': 'postalcode', 'name': '33716', 'number': None, 'postal_code': '33716', 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Pinellas County', 'locality': 'St. Petersburg', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '33716, St. Petersburg, FL, USA'}
Tampa, FL 33614	{'latitude': 27.935231, 'longitude': -82.495716, 'type': 'locality', 'name': 'Tampa', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Hillsborough County', 'locality': 'Tampa', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tampa, FL, USA'}
Boston, MA 02111	{'latitude': 42.355492, 'longitude': -71.048611, 'type': 'locality', 'name': 'Boston', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Suffolk County', 'locality': 'Boston', 'administrative_area': 'Boston', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Boston, MA, USA'}
Chicago, IL 60601	{'latitude': 41.87897, 'longitude': -87.66063, 'type': 'locality', 'name': 'Chicago', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Cook County', 'locality': 'Chicago', 'administrative_area': 'Chicago', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Chicago, IL, USA'}
Clearwater, FL 33760	{'latitude': 27.975161, 'longitude': -82.808575, 'type': 'locality', 'name': 'Clearwater', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Pinellas County', 'locality': 'Clearwater', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Clearwater, FL, USA'}
Woonsocket, RI 02895 (Fairmount area)	{'latitude': 24.812494, 'longitude': 46.784775, 'type': 'address', 'name': '2895 محضره', 'number': '2895', 'postal_code': '13251', 'street': 'محضره', 'confidence': 1, 'region': 'Riyadh', 'region_code': 'RI', 'county': 'Ar-Riyad', 'locality': 'Riyadh', 'administrative_area': None, 'neighbourhood': None, 'country': 'Saudi Arabia', 'country_code': 'SAU', 'continent': 'Asia', 'label': '2895 محضره, Riyadh, Saudi Arabia'}
Van Nuys, CA 91406	{'latitude': 36.531544, 'longitude': -119.586168, 'type': 'region', 'name': 'California', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.3, 'region': 'California', 'region_code': 'CA', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'California, USA'}
Dade City, FL 33523	{'latitude': 28.36304, 'longitude': -82.191635, 'type': 'locality', 'name': 'Dade City', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Pasco County', 'locality': 'Dade City', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Dade City, FL, USA'}
Indianapolis, IN 46202 (Near NW-Riverside area)	{'latitude': 39.785871, 'longitude': -86.143448, 'type': 'locality', 'name': 'Indianapolis', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Indiana', 'region_code': 'IN', 'county': 'Marion County', 'locality': 'Indianapolis', 'administrative_area': 'Center Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Indianapolis, IN, USA'}
Deerfield Beach, FL	{'latitude': 26.301421, 'longitude': -80.131604, 'type': 'locality', 'name': 'Deerfield Beach', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Florida', 'region_code': 'FL', 'county': 'Broward County', 'locality': 'Deerfield Beach', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Deerfield Beach, FL, USA'}
Columbia, MD 21046	{'latitude': 39.199038, 'longitude': -76.841517, 'type': 'locality', 'name': 'Columbia', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maryland', 'region_code': 'MD', 'county': 'Howard County', 'locality': 'Columbia', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Columbia, MD, USA'}
Bethany, CT	{'latitude': 41.424008, 'longitude': -72.994142, 'type': 'locality', 'name': 'Bethany', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Connecticut', 'region_code': 'CT', 'county': 'New Haven County', 'locality': 'Bethany', 'administrative_area': 'Bethany', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Bethany, CT, USA'}
San Antonio, TX 78258	{'latitude': 29.634097, 'longitude': -98.497426, 'type': 'postalcode', 'name': '78258', 'number': None, 'postal_code': '78258', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Bexar County', 'locality': 'San Antonio', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '78258, San Antonio, TX, USA'}
Calabasas Hills, CA 91301	{'latitude': 36.531544, 'longitude': -119.586168, 'type': 'region', 'name': 'California', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.3, 'region': 'California', 'region_code': 'CA', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'California, USA'}
Medford, OR 97504	{'latitude': 42.338167, 'longitude': -122.852301, 'type': 'locality', 'name': 'Medford', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Oregon', 'region_code': 'OR', 'county': 'Jackson County', 'locality': 'Medford', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Medford, OR, USA'}
Alexandria, VA	{'latitude': 38.80484, 'longitude': -77.04692, 'type': 'locality', 'name': 'Alexandria', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Virginia', 'region_code': 'VA', 'county': 'City of Alexandria', 'locality': 'Alexandria', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Alexandria, VA, USA'}
San Diego, CA 92126	{'latitude': 32.72793, 'longitude': -117.15529, 'type': 'locality', 'name': 'San Diego', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'San Diego County', 'locality': 'San Diego', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'San Diego, CA, USA'}
Chicago, IL 60616 (South Loop area)	{'latitude': 41.87897, 'longitude': -87.66063, 'type': 'locality', 'name': 'Chicago', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Cook County', 'locality': 'Chicago', 'administrative_area': 'Chicago', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Chicago, IL, USA'}
Windsor Locks, CT 06096	{'latitude': 41.925533, 'longitude': -72.653625, 'type': 'locality', 'name': 'Windsor Locks', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Connecticut', 'region_code': 'CT', 'county': 'Hartford County', 'locality': 'Windsor Locks', 'administrative_area': 'Windsor Locks', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Windsor Locks, CT, USA'}
Tucson, AZ 85756 (Tucson International Airport area)	{'latitude': 42.717392, 'longitude': -7.955382, 'type': 'address', 'name': 'Lg Az-az 4', 'number': '4', 'postal_code': '36538', 'street': 'Lg Az-az', 'confidence': 0.8, 'region': 'Pontevedra', 'region_code': 'GA', 'county': None, 'locality': None, 'administrative_area': 'Rodeiro', 'neighbourhood': None, 'country': 'Spain', 'country_code': 'ESP', 'continent': 'Europe', 'label': 'Lg Az-az 4, Rodeiro, GA, Spain'}
Scarborough, ME 04074	{'latitude': 43.57036, 'longitude': -70.38783, 'type': 'locality', 'name': 'West Scarborough', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maine', 'region_code': 'ME', 'county': 'Cumberland County', 'locality': 'West Scarborough', 'administrative_area': 'Scarborough', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'West Scarborough, ME, USA'}
Kansas City, KS	{'latitude': 39.106581, 'longitude': -94.731189, 'type': 'locality', 'name': 'Kansas City', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Kansas', 'region_code': 'KS', 'county': 'Wyandotte County', 'locality': 'Kansas City', 'administrative_area': 'Kansas City', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Kansas City, KS, USA'}
Newport Beach, CA	{'latitude': 33.59153, 'longitude': -117.886307, 'type': 'locality', 'name': 'Newport Beach', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Orange County', 'locality': 'Newport Beach', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Newport Beach, CA, USA'}
San Jose, CA 95110 (Downtown area)	{'latitude': 37.346512, 'longitude': -121.909803, 'type': 'postalcode', 'name': '95110', 'number': None, 'postal_code': '95110', 'street': None, 'confidence': 1, 'region': 'California', 'region_code': 'CA', 'county': 'Santa Clara County', 'locality': 'San Jose', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '95110, San Jose, CA, USA'}
Olathe, KS 66061	{'latitude': 38.883639, 'longitude': -94.810546, 'type': 'locality', 'name': 'Olathe', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Kansas', 'region_code': 'KS', 'county': 'Johnson County', 'locality': 'Olathe', 'administrative_area': 'Olathe', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Olathe, KS, USA'}
Frederick, MD 21704	{'latitude': 39.424856, 'longitude': -77.413808, 'type': 'locality', 'name': 'Frederick', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maryland', 'region_code': 'MD', 'county': 'Frederick County', 'locality': 'Frederick', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Frederick, MD, USA'}
Ypsilanti, MI 48197	{'latitude': 42.241742, 'longitude': -83.618278, 'type': 'locality', 'name': 'Ypsilanti', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Washtenaw County', 'locality': 'Ypsilanti', 'administrative_area': 'Ypsilanti', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Ypsilanti, MI, USA'}
United States Minor Outlying Islands	{'latitude': 19.299178, 'longitude': 166.627446, 'type': 'dependency', 'name': 'United States Minor Outlying Islands', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.1, 'region': None, 'region_code': None, 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': None, 'country_code': None, 'continent': 'North America', 'label': 'United States Minor Outlying Islands'}
San Diego, CA 92123 (Kearny Mesa area)	{'latitude': 32.72793, 'longitude': -117.15529, 'type': 'locality', 'name': 'San Diego', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'San Diego County', 'locality': 'San Diego', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'San Diego, CA, USA'}
Seattle, WA 98108 (Georgetown area)	{'latitude': 47.534862, 'longitude': -122.305794, 'type': 'postalcode', 'name': '98108', 'number': None, 'postal_code': '98108', 'street': None, 'confidence': 1, 'region': 'Washington', 'region_code': 'WA', 'county': 'King County', 'locality': 'Seattle', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '98108, Seattle, WA, USA'}
